!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
LIC11156	103.867343296
LIC11158	104.2770017148
LIC11159	96.260038033
LIC11567	22.0829947538
LIC11569	60.8164977743
LIC11150	50.6311301383
LIC11173	160.2679690085
LIC11172	4.6470337903
LIC11171	4.2420480291
LIC10571	401.2570323263
LIC11177	342.0279184141
LIC11176	128.8860095598
LIC11175	233.9366814148
LIC10570	397.6706993869
LIC10574	223.419704451
LIC10578	294.1830001769
LIC11182	514.5942933195
LIC11181	10.6926729027
LIC11183	373.4236611729
LIC11693	277.4948295431
LIC11188	422.8447072921
LIC11691	28.0914060898
LIC10561	69.8072811217
LIC11698	210.4974439122
LIC11189	74.4333196784
LIC11696	5.7889953365
LIC11695	43.1807295859
LIC10565	1155.7353013559
LIC11699	383.6615902368
LIC10568	22.497532329
LIC11195	219.6957124512
LIC11194	2879.4345413464
LIC11192	73.0223685572
LIC10596	56.6320767108
LIC10594	15.7870713787
LIC11198	897.9269587633
LIC10591	55.47748155
LIC11197	2211.3871519757
LIC10592	157.3046414108
LIC11196	1795.5044713041
LIC10599	130.3350010364
LIC10586	49.5435611308
LIC10587	61.3624178236
LIC10580	5.9262635267
LIC10581	314.8893740239
LIC10582	236.82778033
LIC10583	1005.3649679662
LIC10532	26.1052798299
LIC10534	30.7014840032
LIC10538	293.5232599544
LIC10521	335.7426179961
LIC10520	19.4825006548
LIC10522	938.9382152126
LIC10523	743.4508124723
LIC10524	4161.1805695159
LIC10525	2492.7103869648
LIC10526	126.0285625253
LIC10529	8.2927021804
LIC10554	422.275210243
LIC10551	619.2528391323
LIC10550	600.9524798559
LIC11608	114.9513565436
LIC11609	14.1758469748
LIC11606	9.2545514993
LIC11607	260.6501808361
LIC11604	134.0818377271
LIC11602	189.1641762321
LIC11600	77.7900120523
LIC11601	160.3954112433
LIC10557	665.3089580146
LIC10558	500.8263766187
LIC10543	142.7803753871
LIC10548	652.1947446235
LIC10549	56.874166545
LIC10545	93.1144944796
LIC10546	198.1482601831
LIC10547	114.6404283543
LIC11624	19.7066193123
LIC11625	1016.3282388693
LIC11622	252.827173976
LIC11623	20.2271707054
LIC11628	19.9730221495
LIC11629	97.5448539333
LIC11626	9.422823739
LIC11627	42.9802246537
LIC13384	141.7720322857
LIC13382	31.064766507
LIC13381	14.573303045
LIC11621	285.3542147835
LIC11620	318.7920133899
LIC13385	20.91254525
LIC11611	19.8399827941
LIC11612	84.8681419226
LIC11613	532.6126092038
LIC11615	53.974714245
LIC11616	344.073471354
LIC11617	8537.8830695353
LIC11618	1138.2256356477
LIC11619	689.3292537618
LIC13371	328.1194696552
LIC13370	391.946324502
LIC13372	286.9028874252
LIC11610	26.8315464108
LIC13376	2.4686736202
LIC11646	130.5322632784
LIC11645	50.7158086379
LIC13361	34.8208212683
LIC13360	88.3239609189
LIC11643	3146.1003004974
LIC13366	15.8868409053
LIC11642	188.2422681404
LIC13364	25.3839253251
