K02040	PstS
K06820	-
K06827	-
K06826	-
K06825	-
K09832	-
K10433	-
K06829	-
K10430	-
K10436	-
K10435	-
K10434	-
K11348	-
K11349	-
K11342	-
K11343	-
K11341	-
K11346	-
K11347	-
K11344	-
K11345	-
K10696	-
K10695	-
K10694	-
K10693	-
K10691	-
K10699	-
K10698	-
K04078	GroS
K04079	HtpG
K04077	GroL
K04072	AdhE
K01895	Acs
K05039	-
K14840	-
K13649	-
K13645	-
K13644	-
K13646	-
K13643	IscR
K15428	-
K15422	-
A5GZ75	-
YAR050W	-
K02020	ModA
K03884	-
K03885	Ndh
K03883	-
K03880	-
K03881	-
YLR286C	-
K09625	-
K03088	RpoE
K03088	FecI
K03086	RpoD
K03087	RpoS
K03084	-
K03083	-
K13867	-
K06108	-
K12193	-
K12190	-
K12191	-
K12196	-
K12197	-
K12194	-
K12195	-
K06100	-
K06101	-
K12198	-
K12199	-
K06104	-
K06105	-
K06106	-
Q562S2	-
O94805	-
K04858	-
K04859	-
K11647	-
K11644	-
K11643	-
K11642	-
K11649	-
K11648	-
K10594	-
K10595	-
K10596	-
K10597	-
K10590	-
K10591	-
K10592	-
K10593	-
K10598	-
K10599	-
K12736	-
K12737	-
K12734	-
K12735	-
K12733	-
K12738	-
K07509	-
K07508	-
K11423	-
K11422	-
K11421	-
K11420	-
K11427	-
K11426	-
K11425	-
K11424	-
K11429	-
K11428	-
K10771	-
K10772	-
K10773	Nth
K14286	-
K10776	-
K10777	-
K10779	-
K00416	-
K01900	-
K01903	SucC
K01902	SucD
K01904	-
K01907	-
K14289	-
K01908	PrpE
K00411	-
K07763	-
K08062	-
K07767	-
K07766	-
K00413	-
K05504	-
K02516	-
K04684	-
K04686	-
K04681	-
K04680	-
K04683	-
K04682	-
K04688	-
K09028	-
K09029	-
K09026	-
K02908	-
K02909	YkgM
K02909	RpmE
K08218	AmpG
K02904	RpmC
K02905	-
K08214	-
K06204	DksA
K02900	-
K08213	-
K02902	RpmB
K02903	-
K00230	HemG
K00231	-
K00232	-
K00234	-
K00235	-
K00236	-
K00237	-
K00239	SdhA
K04539	-
K04538	-
K04537	-
K04536	-
K04535	-
K04534	-
K04533	-
K04532	-
K01011	SseA
K01011	YnjE
K14455	-
K14454	-
K14459	-
K05481	-
K05482	-
K13151	-
K13402	-
K12859	-
K12858	-
K12852	-
K12850	-
K12857	-
K12856	-
K12855	-
K12854	-
K03500	RsmB
K03506	-
K03505	-
K03504	-
P62736	-
K02272	-
K02270	-
K13108	-
K13109	-
K13106	-
K13107	-
K13104	-
K13105	-
K13102	-
K13103	-
K13100	-
K13101	-
K04992	-
K12505	-
K12504	-
K12501	-
K12500	FadM
Q8WVW5	-
K11564	-
YDR130C	-
K14407	-
YDR055W	-
K06592	-
K10905	-
K10904	-
K10903	-
K10902	-
K10901	-
K10900	-
K10908	-
K09812	FtsE
K09810	LolD
K11366	-
K11367	-
K11368	-
K10014	HisJ
K10017	HisP
K10011	ArnA
K10010	YecC
K10013	ArgT
K10012	ArnC
K04237	-
B4DM97	-
K15628	-
