K11449	-
K11448	-
K00613	-
K00610	b4244
K00611	b4254
K00611	b0273
K00616	b2464
K00616	b0008
K00615	b2465
K00615	b2935
K00618	-
K00619	b2818
K06474	-
K06477	-
K06470	-
K10869	-
K06472	-
K08446	-
K10864	-
K10865	-
K10866	-
K10867	-
K06478	-
K06479	-
K10862	-
K10863	-
K01052	-
K04571	-
K07877	-
K07876	-
K07875	-
K01050	-
K07873	-
K07872	-
K07871	-
K07870	-
b3510	b3510
K07879	-
K07878	-
K04574	-
K10244	-
K10246	-
K10247	-
Q1KLZ0	-
K05220	-
K08061	-
Q6S8J3	-
K15746	-
K15747	-
K15744	-
K15748	-
K13744	-
K06210	-
K09086	-
K09089	-
K02968	b0023
K02969	-
K02966	-
K02967	b0169
K02964	-
K02965	b3316
K05642	-
K05643	-
K05640	-
K05641	-
K03569	b3251
K03568	b3244
K03564	b2480
K03563	b2696
K01704	b0071
K01703	b0072
K09558	-
K09559	-
K09552	-
K09553	-
K09550	-
K09551	-
YGL075C	-
K09557	-
K09554	-
K09555	-
K14165	-
K14163	-
K08142	-
K05391	-
K05460	-
K14169	-
K08147	-
K05396	b1919
K03701	b4058
K03702	b0779
YPL124W	-
K03704	b1558
K03704	b0989
K03704	b0990
K03704	b3556
K03704	b0880
K03704	b1552
K03704	b1823
K03704	b0623
K03704	b1557
K09431	-
K09430	-
K09433	-
K09434	-
K09436	-
K12839	-
K12838	-
K12835	-
K12834	-
K12837	-
K12836	-
K12831	-
K12830	-
K12833	-
K12832	-
K15348	-
K11669	-
K04936	-
K04380	-
K06866	b2579
K06861	b3201
K12651	-
K12650	-
K12653	-
K12655	-
K12654	-
K12657	-
K12656	-
K11875	-
K11876	-
K11877	-
K11878	-
YGR279C	-
K06091	-
K08707	-
K10477	-
K10476	-
K10475	-
K10474	-
K10473	-
K10472	-
K10470	-
YMR006C	-
K11306	-
K11307	-
K11304	-
K11305	-
K11302	-
K11303	-
K11300	-
K11301	-
K11308	-
K00137	b1444
K00135	b2661
K00134	b1779
K00133	b2319
K00133	b3433
K00139	-
K00138	b3588
K10652	-
K10651	-
K10650	-
K10654	-
K00420	-
K00423	-
K00425	b0733
K00425	b0978
K00426	b0734
K00426	b0979
K14291	-
K14376	-
K15979	-
K15978	-
K14085	-
