Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Cell Communication	-DNA Maintenance	0.2216	0.1991	0.365	0.3481
Metabolism	-DNA Maintenance	3.31	3.629	5.556	6.212
-Membrane Transport	-DNA Maintenance	0.0897	0.08461	0.05759	0.03968
-Central Carbon Metabolism	-DNA Maintenance	0.5179	0.6903	1.535	1.826
-Energy Metabolism	-DNA Maintenance	0.1332	0.1371	0.4073	0.4941
-Biosynthesis	-DNA Maintenance	0.8529	0.9631	1.444	1.407
-Other Enzymes	-DNA Maintenance	2.092	2.094	2.945	3.182
Organismal Systems	-DNA Maintenance	1.127	1.274	1.055	0.9839
-Immune System	-DNA Maintenance	0.6712	0.8276	0.4939	0.526
-Endocrine System	-DNA Maintenance	0.1508	0.1458	0.2066	0.1605
-Circulatory System	-DNA Maintenance	0.0338	0.03327	0.07196	0.06298
-Digestive System	-DNA Maintenance	0.09032	0.08879	0.06161	0.06514
-Excretory System	-DNA Maintenance	0.1201	0.1037	0.1294	0.1055
-Nervous System	-DNA Maintenance	0.1253	0.1266	0.1819	0.1591
-Sensory System	-DNA Maintenance	0.01523	0.01281	0.009625	0.00405
-Development	-DNA Maintenance	0.1044	0.088	0.05863	0.04771
-Environmental Adaptation	-DNA Maintenance	0.03576	0.05343	0.07416	0.06221
Human Diseases	-DNA Maintenance	1.313	1.509	1.983	1.919
-Cancers	-DNA Maintenance	0.2339	0.1962	0.1886	0.2007
-Immune System Diseases	-DNA Maintenance	0.09873	0.1033	0.07771	0.06686
-Neurodegenerative Diseases	-DNA Maintenance	0.4868	0.6737	1.215	1.203
-Cardiovascular Diseases	-DNA Maintenance	0.1211	0.1037	0.3244	0.2774
-Metabolic Diseases	-DNA Maintenance	0.02072	0.02052	0.2101	0.2995
-Infectious Diseases	-DNA Maintenance	0.4906	0.5986	0.5057	0.5391
Not Mapped	-DNA Maintenance	3.79	4.319	3.786	3.641
-Not Mapped	-DNA Maintenance	3.79	4.319	3.786	3.641
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Cell structure	-RNA Family	NaN	NaN	NaN	NaN
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
