Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Transcription	Genetic Information Processing	0.01871	0.02127	0.05091	0.01935	0.02192	0.05246	0.01826	0.0207	0.05026	0.01812	0.02041	0.04763	0.01658	0.01874	0.04623
-Translation	Genetic Information Processing	0.7232	0.7382	0.7451	0.7428	0.7545	0.7634	0.7673	0.7809	0.7902	0.7891	0.8011	0.8107	0.8071	0.8203	0.8295
-Folding, Sorting and Degradation	Genetic Information Processing	0.1416	0.1575	0.168	0.1266	0.1407	0.1542	0.1112	0.1248	0.1371	0.101	0.1138	0.1235	0.08935	0.1009	0.1106
-DNA Maintenance	Genetic Information Processing	0.05174	0.05412	0.08035	0.04891	0.0514	0.07881	0.04097	0.04314	0.06838	0.03503	0.03731	0.0597	0.0317	0.03406	0.05644
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.06081	0.06196	0.06494	0.05916	0.06008	0.06126	0.04728	0.04806	0.04961	0.03978	0.04039	0.04167	0.0314	0.03189	0.03269
-Signal Transduction	Genetic Information Processing	0.06042	0.06184	0.06337	0.0587	0.06008	0.06126	0.04685	0.04806	0.04914	0.03943	0.04039	0.04121	0.03106	0.03189	0.03246
-Signaling Molecules and Interaction	Genetic Information Processing	0	0	0.001548	0	0	0.001066	0	0	0.001052	0	0	0.0009543	0	0	0.0006648
Cellular Processes	Genetic Information Processing	0.01178	0.0533	0.1204	0.01092	0.03379	0.07901	0.009291	0.03324	0.06984	0.008251	0.03219	0.05851	0.008826	0.02531	0.03944
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.001583	0.001617	0.001641	0.0007013	0.0007142	0.0007261	0.0005124	0.0005219	0.0005316	0.0004113	0.0004188	0.0004255	0.0003706	0.0003773	0.0003835
-Cytoskeleton	Genetic Information Processing	0	0.005484	0.01102	0	0.005158	0.01023	0	0.004124	0.008584	0	0.004113	0.007457	0	0.004129	0.00672
-Cell Motility	Genetic Information Processing	0	0.02972	0.1064	0	0.01506	0.06571	0	0.01646	0.05819	0	0.01657	0.04675	0	0.01488	0.03213
-Cell Growth and Death	Genetic Information Processing	6.274e-07	0.008047	0.01289	4.804e-07	0.007972	0.01316	3.299e-07	0.007665	0.01245	2.734e-07	0.007303	0.01113	2.263e-07	0.007445	0.01184
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Genetic Information Processing	1.899	2.005	2.037	1.976	2.09	2.125	1.747	1.855	1.884	1.662	1.757	1.78	1.488	1.566	1.593
-Membrane Transport	Genetic Information Processing	0.1368	0.2101	0.2419	0.1026	0.1985	0.2098	0.09181	0.1737	0.1787	0.06988	0.1378	0.141	0.05195	0.09799	0.1024
-Central Carbon Metabolism	Genetic Information Processing	0.64	0.7414	0.8019	0.6465	0.7625	0.8274	0.5547	0.645	0.6687	0.4991	0.5629	0.5889	0.4313	0.4788	0.5032
-Energy Metabolism	Genetic Information Processing	0.04591	0.09165	0.1749	0.04322	0.09594	0.1829	0.03865	0.09392	0.1566	0.04179	0.0827	0.1287	0.03972	0.06936	0.1115
-Biosynthesis	Genetic Information Processing	0.4627	0.5066	0.6124	0.4963	0.5596	0.6709	0.471	0.5602	0.6589	0.4915	0.6279	0.7224	0.4962	0.6048	0.6997
-Other Enzymes	Genetic Information Processing	0.3129	0.3787	0.4474	0.3508	0.4092	0.4913	0.2757	0.3762	0.3974	0.2367	0.3368	0.4186	0.2039	0.2948	0.3828
Organismal Systems	Genetic Information Processing	0	0	0.03964	0	0	4.922e-07	0	0	3.379e-07	0	0	2.798e-07	0	0	2.319e-07
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0.03964	0	0	4.922e-07	0	0	3.379e-07	0	0	2.798e-07	0	0	2.319e-07
Human Diseases	Genetic Information Processing	0	0.004528	0.0161	0	4.922e-07	0.003839	0	3.381e-07	0.003835	0	2.798e-07	0.003971	0	2.32e-07	0.004281
-Cancers	Genetic Information Processing	0	0	0.01145	0	0	4.938e-07	0	0	3.388e-07	0	0	2.806e-07	0	0	2.327e-07
-Immune System Diseases	Genetic Information Processing	0	0	6.421e-07	0	0	4.922e-07	0	0	3.379e-07	0	0	2.798e-07	0	0	2.319e-07
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0.004658	0	0	0.003838	0	0	0.003834	0	0	0.003971	0	0	0.004281
Not Mapped	Genetic Information Processing	0.6329	0.6463	0.6561	0.507	0.5163	0.525	0.4226	0.4304	0.4384	0.3747	0.3816	0.3877	0.3416	0.3478	0.3535
-Not Mapped	Genetic Information Processing	0.6329	0.6463	0.6561	0.507	0.5163	0.525	0.4226	0.4304	0.4384	0.3747	0.3816	0.3877	0.3416	0.3478	0.3535
TOTAL	-Transcription	90.52	117.1	290.5	78.1	107	255.8	73.35	95.46	243.7	73.16	95.03	230	68.45	91.41	229.6
MAPPED	-Transcription	79.73	103.1	255.9	69.91	95.77	229	66.2	86.16	220	66.43	86.28	208.8	62.15	82.99	208.4
Genetic Information Processing	-Transcription	16.88	21.91	52.91	16.03	21.96	51.25	16.74	21.8	54.31	17.84	23.15	54.8	18.33	24.38	60
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	12.33	15.85	39.33	11.98	16.31	39	12.96	16.76	42.79	14.17	18.3	44.29	14.88	19.75	49.61
-Folding, Sorting and Degradation	-Transcription	2.655	3.879	8.447	2.25	3.519	7.271	2.086	3.107	6.849	2.031	2.988	6.235	1.85	2.8	6.065
