KO number	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
K09556	NaN	NaN	NaN	NaN
K09558	NaN	NaN	NaN	NaN
K09561	NaN	NaN	NaN	NaN
K09562	NaN	NaN	NaN	NaN
K01349	NaN	NaN	NaN	NaN
K01279	NaN	NaN	NaN	NaN
K01363	NaN	NaN	NaN	NaN
K01275	NaN	NaN	NaN	NaN
K01371	NaN	NaN	NaN	NaN
K01365	NaN	NaN	NaN	NaN
K01368	NaN	NaN	NaN	NaN
K08779	NaN	NaN	NaN	NaN
K13289	NaN	NaN	NaN	NaN
K12373	NaN	NaN	NaN	NaN
K02582	NaN	NaN	NaN	NaN
K01229	NaN	NaN	NaN	NaN
K03900	NaN	NaN	NaN	NaN
K03767	5904630	840370	224010	257640
K03768	32754736	4249076	1438772	2505756
K09565	NaN	NaN	NaN	NaN
K10598	NaN	NaN	NaN	NaN
K03770	55585306	2315691	414918	1024212
K09571	NaN	NaN	NaN	NaN
K03772	39003930	3183570	837540	1983150
K03773	19706578	2110882	605640	1052660
K03774	1132549	172095	70328	82397
K03775	78130500	7481124	1431192	4008592
K09578	NaN	NaN	NaN	NaN
K03769	4232988	849369	123690	391809
K03771	23430860	1657216	552548	1089688
K03671	23875200	4985568	1334160	2104416
K03672	1475207	236856	79091	90072
K05838	15990336	1482764	455536	917036
K03674	407235	105995	36635	68595
K03675	1298600	201240	626080	108360
K03676	2060060	636444	247174	237712
K07390	10438780	2384065	1030860	962895
K09580	NaN	NaN	NaN	NaN
K08056	NaN	NaN	NaN	NaN
K09582	NaN	NaN	NaN	NaN
K09584	NaN	NaN	NaN	NaN
K13996	NaN	NaN	NaN	NaN
K13984	NaN	NaN	NaN	NaN
K09586	NaN	NaN	NaN	NaN
K03673	23414768	2312752	546624	1080976
K03611	3285040	390896	62832	141504
K03981	4130236	511412	166616	298776
K04084	3470600	NaN	NaN	NaN
K02199	165575	13505	4995	3700
K03805	1351524	145524	61372	74504
K03076	76040950	4362664	787654	2188420
K03073	8545322	1329944	221361	386969
K03075	9280920	1336940	326040	446380
K03072	39876600	1659885	268755	768750
K03074	13734606	945421	149226	366928
K12257	NaN	NaN	NaN	NaN
K03210	14226960	2959330	934340	1486650
K03217	92930388	4826236	599512	1418772
K03070	1.0924715e+08	3592287	1034348	2945369
K13301	1584740	95200	38420	58990
K03106	37243848	1907583	341562	1059114
K03110	20043006	1030362	258462	620508
K10956	NaN	NaN	NaN	NaN
K09481	NaN	NaN	NaN	NaN
K07342	NaN	NaN	NaN	NaN
K12275	NaN	NaN	NaN	NaN
K03109	NaN	NaN	NaN	NaN
K03104	NaN	NaN	NaN	NaN
K03108	NaN	NaN	NaN	NaN
K03107	NaN	NaN	NaN	NaN
K03105	NaN	NaN	NaN	NaN
K13431	NaN	NaN	NaN	NaN
K12272	NaN	NaN	NaN	NaN
K03116	3146150	563904	260414	426755
K03117	1451448	182628	50103	80712
K03118	2164362	296184	48762	101394
K03425	922322	232155	86162	108138
K03100	7537860	426060	109512	217080
K03101	1202120	193848	57892	50512
K12946	NaN	NaN	NaN	NaN
K12947	NaN	NaN	NaN	NaN
K12948	NaN	NaN	NaN	NaN
K13280	NaN	NaN	NaN	NaN
K09647	NaN	NaN	NaN	NaN
K09648	NaN	NaN	NaN	NaN
K12666	NaN	NaN	NaN	NaN
K12667	NaN	NaN	NaN	NaN
K12668	NaN	NaN	NaN	NaN
K12669	NaN	NaN	NaN	NaN
K12670	NaN	NaN	NaN	NaN
K07151	NaN	NaN	NaN	NaN
K01228	NaN	NaN	NaN	NaN
K13999	NaN	NaN	NaN	NaN
K14000	NaN	NaN	NaN	NaN
K14001	NaN	NaN	NaN	NaN
K14002	NaN	NaN	NaN	NaN
K05546	NaN	NaN	NaN	NaN
K08288	NaN	NaN	NaN	NaN
K01230	NaN	NaN	NaN	NaN
K10082	NaN	NaN	NaN	NaN
K10080	NaN	NaN	NaN	NaN
K10081	NaN	NaN	NaN	NaN
K14003	NaN	NaN	NaN	NaN
K07953	NaN	NaN	NaN	NaN
K14005	NaN	NaN	NaN	NaN
K14006	NaN	NaN	NaN	NaN
K14007	NaN	NaN	NaN	NaN
K11718	NaN	NaN	NaN	NaN
K10084	NaN	NaN	NaN	NaN
K10085	NaN	NaN	NaN	NaN
K10086	NaN	NaN	NaN	NaN
K10950	NaN	NaN	NaN	NaN
K10976	NaN	NaN	NaN	NaN
K10088	NaN	NaN	NaN	NaN
K14008	NaN	NaN	NaN	NaN
K13249	NaN	NaN	NaN	NaN
K13250	NaN	NaN	NaN	NaN
K13251	NaN	NaN	NaN	NaN
K04571	NaN	NaN	NaN	NaN
K14009	NaN	NaN	NaN	NaN
K11519	NaN	NaN	NaN	NaN
K13989	NaN	NaN	NaN	NaN
K14011	NaN	NaN	NaN	NaN
K14012	NaN	NaN	NaN	NaN
K13525	NaN	NaN	NaN	NaN
K14015	NaN	NaN	NaN	NaN
K14016	NaN	NaN	NaN	NaN
K13719	NaN	NaN	NaN	NaN
K14018	NaN	NaN	NaN	NaN
K10839	NaN	NaN	NaN	NaN
K04523	NaN	NaN	NaN	NaN
K01456	NaN	NaN	NaN	NaN
K11863	NaN	NaN	NaN	NaN
K10597	NaN	NaN	NaN	NaN
K14020	NaN	NaN	NaN	NaN
K08852	NaN	NaN	NaN	NaN
K03173	NaN	NaN	NaN	NaN
K04426	NaN	NaN	NaN	NaN
K04431	NaN	NaN	NaN	NaN
K04440	NaN	NaN	NaN	NaN
K02159	NaN	NaN	NaN	NaN
K01367	NaN	NaN	NaN	NaN
K03853	NaN	NaN	NaN	NaN
K04741	NaN	NaN	NaN	NaN
K10661	NaN	NaN	NaN	NaN
K10578	NaN	NaN	NaN	NaN
K04554	NaN	NaN	NaN	NaN
K10575	NaN	NaN	NaN	NaN
K14022	NaN	NaN	NaN	NaN
K10601	NaN	NaN	NaN	NaN
K10666	NaN	NaN	NaN	NaN
K14026	NaN	NaN	NaN	NaN
K14027	NaN	NaN	NaN	NaN
K10636	NaN	NaN	NaN	NaN
K06689	NaN	NaN	NaN	NaN
K03868	NaN	NaN	NaN	NaN
K03347	NaN	NaN	NaN	NaN
K10099	NaN	NaN	NaN	NaN
K04560	NaN	NaN	NaN	NaN
K08486	NaN	NaN	NaN	NaN
K08488	NaN	NaN	NaN	NaN
K08491	NaN	NaN	NaN	NaN
K08493	NaN	NaN	NaN	NaN
K08495	NaN	NaN	NaN	NaN
K08496	NaN	NaN	NaN	NaN
K08497	NaN	NaN	NaN	NaN
K08498	NaN	NaN	NaN	NaN
K08501	NaN	NaN	NaN	NaN
K08502	NaN	NaN	NaN	NaN
K08504	NaN	NaN	NaN	NaN
K08505	NaN	NaN	NaN	NaN
K08508	NaN	NaN	NaN	NaN
K08509	NaN	NaN	NaN	NaN
K08510	NaN	NaN	NaN	NaN
K13505	NaN	NaN	NaN	NaN
K08512	NaN	NaN	NaN	NaN
K08513	NaN	NaN	NaN	NaN
K08515	NaN	NaN	NaN	NaN
K08516	NaN	NaN	NaN	NaN
K08517	NaN	NaN	NaN	NaN
K13813	NaN	NaN	NaN	NaN
K03178	NaN	NaN	NaN	NaN
K10684	NaN	NaN	NaN	NaN
K10685	NaN	NaN	NaN	NaN
K10686	NaN	NaN	NaN	NaN
K10698	NaN	NaN	NaN	NaN
K10699	NaN	NaN	NaN	NaN
K06688	NaN	NaN	NaN	NaN
K10576	NaN	NaN	NaN	NaN
K04552	NaN	NaN	NaN	NaN
K10579	NaN	NaN	NaN	NaN
K10580	NaN	NaN	NaN	NaN
K10581	NaN	NaN	NaN	NaN
K10582	NaN	NaN	NaN	NaN
K02207	NaN	NaN	NaN	NaN
K10583	NaN	NaN	NaN	NaN
K10688	NaN	NaN	NaN	NaN
K10585	NaN	NaN	NaN	NaN
K04649	NaN	NaN	NaN	NaN
K10586	NaN	NaN	NaN	NaN
K10587	NaN	NaN	NaN	NaN
K10588	NaN	NaN	NaN	NaN
K10589	NaN	NaN	NaN	NaN
K05632	NaN	NaN	NaN	NaN
K05630	NaN	NaN	NaN	NaN
K10590	NaN	NaN	NaN	NaN
K10591	NaN	NaN	NaN	NaN
K13305	NaN	NaN	NaN	NaN
K10592	NaN	NaN	NaN	NaN
K10593	NaN	NaN	NaN	NaN
K10594	NaN	NaN	NaN	NaN
K10595	NaN	NaN	NaN	NaN
K10615	NaN	NaN	NaN	NaN
K10596	NaN	NaN	NaN	NaN
K04707	NaN	NaN	NaN	NaN
K04506	NaN	NaN	NaN	NaN
K10054	NaN	NaN	NaN	NaN
K10144	NaN	NaN	NaN	NaN
K04706	NaN	NaN	NaN	NaN
K10604	NaN	NaN	NaN	NaN
K10607	NaN	NaN	NaN	NaN
K03875	NaN	NaN	NaN	NaN
K03870	NaN	NaN	NaN	NaN
K03872	NaN	NaN	NaN	NaN
K03873	NaN	NaN	NaN	NaN
K03869	NaN	NaN	NaN	NaN
K10456	NaN	NaN	NaN	NaN
K10609	NaN	NaN	NaN	NaN
K10610	NaN	NaN	NaN	NaN
K10570	NaN	NaN	NaN	NaN
K10612	NaN	NaN	NaN	NaN
K10613	NaN	NaN	NaN	NaN
K10264	NaN	NaN	NaN	NaN
K03349	NaN	NaN	NaN	NaN
K03363	NaN	NaN	NaN	NaN
K03364	NaN	NaN	NaN	NaN
K03348	NaN	NaN	NaN	NaN
K03350	NaN	NaN	NaN	NaN
K03351	NaN	NaN	NaN	NaN
K03352	NaN	NaN	NaN	NaN
K03353	NaN	NaN	NaN	NaN
K03354	NaN	NaN	NaN	NaN
K03355	NaN	NaN	NaN	NaN
K03357	NaN	NaN	NaN	NaN
K03359	NaN	NaN	NaN	NaN
K12456	NaN	NaN	NaN	NaN
K12159	NaN	NaN	NaN	NaN
K08341	NaN	NaN	NaN	NaN
K12161	NaN	NaN	NaN	NaN
K04532	NaN	NaN	NaN	NaN
K11996	1018410	80925	26643	51543
K08337	NaN	NaN	NaN	NaN
K08343	NaN	NaN	NaN	NaN
K10652	NaN	NaN	NaN	NaN
K10691	NaN	NaN	NaN	NaN
K10632	NaN	NaN	NaN	NaN
K10643	NaN	NaN	NaN	NaN
K06084	NaN	NaN	NaN	NaN
K08775	NaN	NaN	NaN	NaN
K05611	NaN	NaN	NaN	NaN
K08601	NaN	NaN	NaN	NaN
K11838	NaN	NaN	NaN	NaN
K11839	NaN	NaN	NaN	NaN
K03030	NaN	NaN	NaN	NaN
K11866	NaN	NaN	NaN	NaN
K04487	71409020	5389360	2222000	6671252
K01011	4938399	334623	187472	157616
K14168	NaN	NaN	NaN	NaN
K14169	NaN	NaN	NaN	NaN
K04085	702351	175527	23247	101331
K07237	139745	33345	13110	14630
K07236	165886	35938	15708	25228
K07235	438656	46720	17536	22656
K11179	817936	150202	32373	76300
