KO number	eco Li complete	eco Li minimal	eco Li without methionine
hsa_F5H3I4	NaN	NaN	NaN
sce_YNL225C	NaN	NaN	NaN
hsa_B4DXW1	NaN	NaN	NaN
hsa_A8K3K1	NaN	NaN	NaN
hsa_B4DT29	NaN	NaN	NaN
hsa_C9JFL5	NaN	NaN	NaN
hsa_A6NL76	NaN	NaN	NaN
hsa_Q6FI97	NaN	NaN	NaN
hsa_B4DM97	NaN	NaN	NaN
hsa_E7EVS6	NaN	NaN	NaN
hsa_F5H3P5	NaN	NaN	NaN
sce_YGL075C	NaN	NaN	NaN
sce_YKL042W	NaN	NaN	NaN
hsa_Q53G99	NaN	NaN	NaN
hsa_P21333-2	NaN	NaN	NaN
hsa_Q9H568	NaN	NaN	NaN
dme_Dmel_CG2184	NaN	NaN	NaN
sce_YDR016C	NaN	NaN	NaN
hsa_P62736	NaN	NaN	NaN
sce_YDR106W	NaN	NaN	NaN
sce_YDR130C	NaN	NaN	NaN
sce_YAL047C	NaN	NaN	NaN
hsa_I3L1U9	NaN	NaN	NaN
hsa_P60709	NaN	NaN	NaN
hsa_B2RB53	NaN	NaN	NaN
hsa_Q9Y615	NaN	NaN	NaN
hsa_Q9Y614	NaN	NaN	NaN
sce_YOR373W	NaN	NaN	NaN
hsa_I3L3R2	NaN	NaN	NaN
hsa_B7Z6P1	NaN	NaN	NaN
hsa_Q5T8M7	NaN	NaN	NaN
hsa_Q5T8M8	NaN	NaN	NaN
sce_YHR172W	NaN	NaN	NaN
hsa_Q53GK6	NaN	NaN	NaN
hsa_P61163	NaN	NaN	NaN
hsa_P61160	NaN	NaN	NaN
sce_YFL037W	NaN	NaN	NaN
hsa_Q8IY98	NaN	NaN	NaN
hsa_J3KT65	NaN	NaN	NaN
hsa_Q53G76	NaN	NaN	NaN
hsa_C9JZR7	NaN	NaN	NaN
K04437	NaN	NaN	NaN
hsa_B4DHK9	NaN	NaN	NaN
hsa_O96019	NaN	NaN	NaN
hsa_Q5JWF8	NaN	NaN	NaN
sce_YER018C	NaN	NaN	NaN
