Rv3264c	manB	K00966
Rv3276c	purK	K01589
Rv3056	dinP	K02346
Rv3468c	rmlB3	K01710
Rv2221c	glnE	K00982
Rv1436	gap	K00134
Rv1437	pgk	K00927
Rv0536	galE3	K17947
Rv0928	pstS3	K02040
Rvnt26	proU	K14232
Rv3011c	gatA	K02433
Rv1438	tpi	K01803
Rv2445c	ndkA	K00940
Rv2888c	amiC	K01426
Rv3279c	birA	K03524
Rv1602	hisH	K02501
Rv3068c	pgmA	K01835
Rv1229c	mrp	K03593
Rv1107c	xseB	K03602
Rv1001	arcA	K01478
Rv3641c	fic	K04095
Rv1270c	lprA	K14955
Rv1224	tatB	K03117
Rv1348	irtA	K14698
Rv2858c	aldC	K00128
Rv1221	sigE	K03088
Rv2109c	prcA	K03432
Rv3710	leuA	K01649
Rv1971	mce3F	K02067
Rv1340	rphA	K00989
Rv2195	qcrA	K03890
Rv3490	otsA	K00697
Rv3460c	rpsM	K02952
Rv2448c	valS	K01873
Rv1345	mbtM	K01909
Rv0533c	fabH	K11608
Rv3133c	devR	K07695
Rv2096c	pafB	K13572
Rv0800	pepC	K01269
Rv2070c	cobK	K05895
Rv0932c	pstS2	K02040
Rv3919c	gid	K03501
Rv1878	glnA3	K01915
Rv3536c	hsaE	K02554
Rv2350c	plcB	K01114
Rv3246c	mtrA	K07670
Rv2936	drrA	K01990
Rv1539	lspA	K03101
Rv0155	pntAa	K00324
Rv0322	udgA	K00012
Rv0321	dcd	K01494
Rv3596c	clpC1	K03696
Rv3580c	cysS1	K01883
Rvnt27	glyV	K14225
Rvnt24	metV	K14230
Rv3923c	rnpA	K03536
Rvnt22	leuU	K14228
Rv1080c	greA	K03624
Rvnt20	leuV	K14228
Rv2948c	fadD22	K12424
Rv3286c	sigF	K03090
Rv3497c	mce4C	K02067
Rv0995	rimJ	K03790
Rv3601c	panD	K01579
Rv0103c	ctpB	K12949
Rv0773c	ggtA	K00681
Rv3858c	gltD	K00266
Rv0440	groEL2	K04077
Rv1266c	pknH	K08884
Rv2539c	aroK	K00891
Rv3290c	lat	K03918
Rv2392	cysH	K00390
Rv2501c	accA1	K11263
Rv3518c	cyp142	K16046
Rv0889c	citA	K01647
Rv1411c	lprG	K14954
Rv2988c	leuC	K01703
Rv0794c	lpdB	K00382
Rv1479	moxR1	K03924
Rv2497c	bkdA	K00161
Rv2521	bcp	K03564
Rv1916	aceAb	K01637
Rv1915	aceAa	K01637
Rv1385	pyrF	K01591
Rv2332	mez	K00027
Rv0929	pstC2	K02037
Rv0728c	serA2	K00058
Rv3809c	glf	K01854
Rv3442c	rpsI	K02996
Rv2334	cysK1	K01738
Rv2335	cysE	K00640
Rv1185c	fadD21	K12423
Rv2540c	aroF	K01736
Rv1316c	ogt	K00567
Rv2976c	ung	K03648
Rv1595	nadB	K00278
Rv2981c	ddlA	K01921
