Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Other Enzymes	MAPPED	0.04838	0.02946	0.04042	0.04569	0.03592	0.03906	0.01473	0.03713	0.03525	0.01669	0.0185	0.04717	0.04054	0.05166	0.04838	0.06041	0.03062	0.03036	0.007885	0.0372	0.03324	0.09018	0.0317	0.03101	0.04271	0.03701	0.03044	0.04017
Organismal Systems	MAPPED	0.1192	0.09051	0.1444	0.08259	0.09512	0.0821	0.2041	0.1522	0.1317	0.1211	0.4119	0.06563	0.06924	0.06693	0.09371	0.03893	0.2843	0.1163	0.2941	0.08378	0.1841	0.08819	0.1739	0.2778	0.2144	0.1633	0.2702	0.2146
-Immune System	MAPPED	0.01164	0.014	0.007031	0.005955	0.00905	0.01132	0.00363	0.00872	0.0112	0.007454	0.00937	0.01099	0.01359	0.01276	0.01643	0.005024	0.04005	0.00801	0.002389	0.006489	0.01618	0.003237	0.00671	0.02075	0.01361	0.01817	0.03442	0.01632
-Endocrine System	MAPPED	0.02562	0.008344	0.004682	0.02978	0.005273	0.003051	0.01037	0.003969	0.005188	0.01811	0.0244	0.01195	0.01884	0.008068	0.009611	0.01524	0.01204	0.008219	0.005312	0.004182	0.01366	0.004333	0.005265	0.004447	0.01807	0.01585	0.02822	0.0477
-Circulatory System	MAPPED	0.07789	0.03829	0.09556	0.0449	0.06025	0.05609	0.1884	0.1252	0.11	0.08728	0.376	0.02615	0.02432	0.03752	0.06175	0.01666	0.2242	0.05968	0.285	0.04291	0.1508	0.03172	0.1206	0.2451	0.1788	0.1217	0.2028	0.1473
-Digestive System	MAPPED	0.001176	0.001489	0.0007981	0.0002853	0.0006571	0.0007813	0.0001605	0.01028	0.0006439	0.002617	0.0002584	0.01187	0.007603	0.004643	0.00339	0.0009135	0.0007011	0.0006423	0.0003717	0.001949	0.001222	0.0436	0.001101	0.001351	0.000838	0.0009801	0.0005316	0.0008212
-Excretory System	MAPPED	0.0006709	0.004641	0.001141	0.0004028	0.001697	0.001371	0.0001682	0.0009711	0.0004312	0.000507	0.0005507	0.00136	0.0009928	0.001708	0.001141	0.0004245	0.00116	0.004177	0.0001994	0.0006508	0.0002957	0.004172	0.0382	0.0004868	0.0005354	0.001051	0.001066	0.0004695
-Nervous System	MAPPED	0.001628	0.01914	0.02833	0.0008132	0.009976	0.001726	0.0003591	0.001848	0.002114	0.001232	0.0009093	0.001546	0.001597	0.001613	0.0009866	0.0004436	0.002211	0.03094	0.0008021	0.0193	0.001411	0.0008873	0.00152	0.004747	0.00223	0.004698	0.002609	0.001072
-Sensory System	MAPPED	3.253e-05	2.222e-05	0.0001115	1.332e-05	0.0001526	0.007113	4.136e-05	0.0006525	2.963e-06	0.002292	2.369e-05	0.00139	0.001742	8.577e-06	2.054e-05	1.927e-05	2.452e-05	1.744e-05	2.964e-05	9.041e-05	1.159e-05	1.872e-05	7.579e-05	1.42e-05	8.164e-05	0.0002478	0.0001541	2.607e-05
-Development	MAPPED	0.0005092	0.004582	0.00674	0.0004297	0.008054	0.0006396	0.0009455	0.0006005	0.002093	0.001688	0.0004125	0.0003753	0.0004981	0.0005998	0.0003781	0.0002126	0.003798	0.004587	8.498e-05	0.008181	0.0004865	0.0001602	0.0003898	0.0008983	0.0002628	0.0005828	0.0004166	0.0008642
