KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K09168	2358700	NaN	444180	NaN	41900000	930619.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4034100	NaN	1733300	NaN	NaN	NaN	4383500	NaN	NaN	NaN	7154599.9	NaN	NaN	3368800	NaN
K09169	4591100	NaN	NaN	NaN	99000000	2779000	NaN	NaN	38200000	NaN	NaN	76400001	27200000	218640	NaN	2606800	NaN	1180100	NaN	NaN	745970	27800000	28500000	1.63e+08	NaN	13200000	14100000	7001200
K09176	NaN	NaN	146110	NaN	NaN	NaN	NaN	NaN	2.63e+08	NaN	NaN	11100000	22400000	NaN	NaN	NaN	NaN	NaN	16700000	2.48e+08	40500000	43200000	81500002	6.2399999e+08	47899998	99999999	1.87e+08	32800000
K08527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08524	450600	NaN	NaN	NaN	1423300	3060400	NaN	NaN	11400000	2417700	NaN	52100000	45700000	2045000	2172300	12900000	4066900	334360	NaN	11200000	1051200	722160.02	2215600	56500000	NaN	5740200.1	2268000	2221900
K10779	4630200	130290	NaN	780329.99	79500000	2084200	547260	2633699.9	97700001	683680	NaN	9005800.1	12900000	5323899.9	1391700	1066600	6791499.9	2505500.1	1498900	14700000	9621600.1	NaN	3434399.9	26800001	203440	11700000	326889.99	2529900
K09201	644159.99	7114000.1	NaN	803369.98	5155999.9	5382100.2	NaN	NaN	NaN	NaN	NaN	10100000	8229600.1	7813800	1082400	NaN	542760	2246100	NaN	1999100	2409700	3980200	NaN	3735400	3386800	1624100	5986199.9	453120.02
K09220	668139.99	1754400	35700000	4709200	7771099.9	3267200	NaN	NaN	1600500	NaN	NaN	NaN	NaN	NaN	NaN	2288700	1540400	NaN	NaN	1.34e+08	NaN	228580	NaN	11400000	NaN	5267599.8	641740	1107600
K10489	133600	NaN	NaN	NaN	326640	376280	93810	NaN	683760	60230.999	NaN	1067300	NaN	68524.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109630	NaN	9754399.9	NaN	1003300	NaN	167640
K10494	NaN	NaN	274220	NaN	2354500	2069600	NaN	NaN	NaN	340500	NaN	NaN	NaN	838330	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
