Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Nervous System	-Folding, Sorting and Degradation	0.1637	0.1574	0.1782	0.1494
-Sensory System	-Folding, Sorting and Degradation	0.001029	0.0009786	0.001029	0.0008502
-Development	-Folding, Sorting and Degradation	0.07201	0.07723	0.06816	0.08274
-Environmental Adaptation	-Folding, Sorting and Degradation	0.03974	0.03626	0.04002	0.03575
Human Diseases	-Folding, Sorting and Degradation	1.357	1.609	1.05	1.635
-Cancers	-Folding, Sorting and Degradation	0.1456	0.1676	0.1189	0.1451
-Immune System Diseases	-Folding, Sorting and Degradation	0.1694	0.1952	0.1125	0.176
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.3512	0.3208	0.3924	0.2858
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.2442	0.2626	0.1753	0.2789
-Metabolic Diseases	-Folding, Sorting and Degradation	0.04974	0.06082	0.03955	0.05343
-Infectious Diseases	-Folding, Sorting and Degradation	0.8743	1.092	0.664	1.133
Not Mapped	-Folding, Sorting and Degradation	1.947	1.837	1.933	1.701
-Not Mapped	-Folding, Sorting and Degradation	1.947	1.837	1.933	1.701
TOTAL	-DNA Maintenance	70.94	63.11	71.66	58.83
MAPPED	-DNA Maintenance	58.87	52.14	59.27	48.3
Genetic Information Processing	-DNA Maintenance	14.47	14.58	13.95	14.36
-Transcription	-DNA Maintenance	0.8746	0.9775	0.7201	0.947
-Translation	-DNA Maintenance	4.339	4.597	3.97	4.4
-Folding, Sorting and Degradation	-DNA Maintenance	7.657	8.003	7.587	8.011
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	1.43	1.429	1.716	1.482
-Signal Transduction	-DNA Maintenance	0.2388	0.2152	0.3102	0.1921
-Signaling Molecules and Interaction	-DNA Maintenance	1.16	1.182	1.396	1.261
Cellular Processes	-DNA Maintenance	21.43	13.44	24.78	10.36
-Crystallins	-DNA Maintenance	0	0	0	0
-Stress Response	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0.4626	0.3384	0.5547	0.309
-Cytoskeleton	-DNA Maintenance	19.01	11.15	22.34	8.288
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	1.059	1.026	1.142	0.9816
-Cell Communication	-DNA Maintenance	0.7245	0.7625	0.6967	0.6726
Metabolism	-DNA Maintenance	8.002	7.485	7.908	6.775
-Membrane Transport	-DNA Maintenance	0.01377	0.0132	0.01614	0.01082
