KO number	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
K09040	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	3319666.9	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034
K09042	13211705	53301276	69274825	92819209	1857.6034	1.1539566e+08	1.2073247e+08	307738.84	1.5977004e+08	1857.6034	68835512
K04450	44793152	6893949.4	1.2473314e+08	38509033	1.3217762e+08	1.1699159e+08	1.5323294e+08	74082692	1.1318974e+08	52580221	10409691
K09045	5.7442765e+08	8.3145214e+08	2.4563258e+09	8.621e+08	1.5552083e+09	9.179511e+08	7.2482031e+08	8.3989964e+08	2.7318645e+08	2.7852425e+09	5.324294e+08
K09047	1857.6034	1857.6034	1.2347423e+08	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034
K05870	1.5515944e+09	9.5415265e+08	3.7366384e+09	3.0712495e+09	1.2229825e+09	2.0574996e+09	2.1044723e+09	8.5505852e+08	4.364238e+08	4.6185367e+09	3.1979566e+08
K09048	6728800	1857.6034	1857.6034	90743508	1857.6034	5610581.2	1857.6034	1857.6034	1985977.4	1.0167324e+08	7563995.7
K09049	1857.6034	1857.6034	44078778	1857.6034	14181639	33022095	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034
K09052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09053	2.4870947e+08	19317687	2.1359908e+08	87363801	1.5381303e+08	21474021	51565674	12549783	1.0777049e+08	4.1140356e+08	94907262
K09054	47541936	7183758.1	1.1124625e+08	40514182	3.0407963e+08	2727574.7	17373884	4282916.9	11722352	42217391	6692939.5
K10048	2.2869837e+08	43972906	7.2360269e+08	2.771539e+08	4.7028634e+08	1.567994e+08	48351529	55097490	68727422	3.3128814e+08	1.1482932e+08
K10050	2.5509199e+08	1.0169383e+08	11712554	1857.6034	78940834	3.9819013e+08	1857.6034	1857.6034	13036311	1857.6034	77764616
K10051	16517192	86338343	40888344	1.7409476e+08	1857.6034	1.397811e+08	29519845	8166427.9	13055518	99389450	25987162
K09059	30317589	1857.6034	1604474.1	1857.6034	2198659.2	11774998	6931856.3	6297882.4	4601838.9	846243.46	525524.68
K14431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09061	2.1842991e+08	2.6473729e+08	8.2221907e+08	2.2560443e+08	5.3377276e+08	1.9593191e+08	1.8253044e+09	2.0967252e+08	1.2587611e+08	5.2350771e+08	4.9898905e+08
K09063	2.3444006e+08	3.3557645e+08	1.1538082e+09	4.8134082e+08	2.8118183e+08	1.8503157e+08	4.6688172e+08	39702853	5.9670357e+08	2.718011e+08	19248481
K09068	5788862	13695308	1857.6034	18588410	4347300.3	6370293.3	1857.6034	32296587	1.2315715e+08	13486834	1857.6034
K09073	72609350	1857.6034	50367578	32829559	1857.6034	3047092.8	1857.6034	1857.6034	5560127.4	5646109	95890994
K08040	1320508.8	1857.6034	1857.6034	6634850.1	1857.6034	71090451	1857.6034	4387271.2	1857.6034	3.1311566e+08	64157849
K09091	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	1857.6034	33260752	1857.6034	1857.6034	1857.6034	1857.6034
K03729	9101494.5	1857.6034	14543027	5.1747019e+08	6353854.1	53902875	5311922.6	1857.6034	7522561.3	1857.6034	4191689.6
K09093	1.0808129e+08	17826627	3.9470845e+08	4.3930608e+08	2.0947619e+08	3.779989e+09	3.5306381e+08	1.4289826e+08	461117.04	2.7156563e+08	10313133
K09095	8156256.7	9351002.7	7622493.5	1857.6034	1857.6034	6574532.1	27097973	12455443	15176873	3590744.6	33498463
K09097	90659524	52954582	80368266	2.4210467e+08	1.3851966e+08	1.065441e+08	2.8520512e+08	1.483591e+08	71673202	3.5981049e+08	2984705.1
K02223	47188732	3348133	4.0372157e+08	1.1664988e+08	33292372	1.743793e+08	1.0336888e+08	18530636	6946340.4	20186430	3566386.5
K02296	36904600	1.4350432e+08	79453278	1.0169051e+08	35785593	1.1960444e+08	1.7588081e+08	37533543	565678.51	19794766	1857.6034
K09099	1857.6034	1857.6034	10252520	3649773.8	1857.6034	1857.6034	735850.41	1857.6034	1857.6034	1857.6034	1857.6034
K04680	81662086	35366309	2.1234934e+08	3.789423e+08	1.5277334e+08	44403006	25441649	16801798	25276309	1857.6034	327654.17
K09103	6.2088972e+08	45297872	1.0839597e+09	87528822	1.1763626e+09	2.5132172e+09	4.5924778e+08	37187838	5105710.1	63459653	96892316
K09105	90904562	15416859	15765479	13133172	2.4320496e+08	98428272	49647910	61710880	15367363	34146072	15484006
K09455	2.7700246e+08	1857.6034	24129716	72111044	52885534	1.8832343e+08	80261351	96750157	1.0621484e+08	35604605	85413011
K09106	1.9320411e+08	3.1613492e+08	1.8727728e+08	3.3601886e+08	5.4472046e+08	5.4981415e+08	6.0228826e+08	1.6407057e+08	5878227.4	4.9301536e+08	12078088
K09107	2793062.7	13179867	3650505.8	4548263.6	12164965	16997251	13129449	1303476.5	5796043.1	5622394.7	1857.6034
K09108	1.3174105e+08	21491161	66170209	3.6308825e+08	1.2062727e+08	14330213	1.7758302e+08	11530200	1.1282208e+08	1.1176094e+08	61266323
K04377	1.1166395e+08	1857.6034	7.6789511e+08	4.8273836e+08	1.447276e+08	57754932	2.6171079e+08	28748933	54008072	5.4538379e+08	6.3650917e+08
K04453	1.2819448e+08	88985995	1.3954904e+08	80332274	84583435	1.0681928e+08	3.3809738e+08	43587344	1.2479381e+08	2.2773091e+08	92287493
K09113	92825270	49770162	3.5632385e+08	1.1204983e+08	2.2853054e+08	1.3249424e+08	2.0992206e+08	45564748	1.0946057e+08	8.5680925e+08	62024221
K09115	42194121	13624994	1.3352464e+08	67662435	1.4493871e+08	37000351	29937105	5.6852935e+08	24272307	1.3662396e+08	565721.45
K09168	4.7785421e+08	2.4118628e+08	2.6042112e+08	93649600	1.3060633e+08	45875049	3.1726489e+08	2.2351124e+08	38766116	1.7989641e+09	41790229
