K03704	CspF:b1558
K03704	CspI:b1552
K03704	CspB:b1557
K01185	ArrQ:b1554
K03605	HyaD:b0975
K06281	HyaB:b0973
K06282	HyaA:b0972
K14233	SerT:b0971
K00426	AppB:b0979
K00425	AppC:b0978
K02013	FhuC:b0151
K02015	FhuB:b0153
K02016	FhuD:b0152
K01845	HemL:b0154
K01243	Mtn:b0159
K06858	BtuF:b0158
K01810	Pgi:b4025
K00928	LysC:b4024
K01703	LeuC:b0072
K06182	RluF:b4022
K07350	FimH:b4320
K01985	RrfH:b0205
K01980	RrlH:b0204
K06222	DkgB:b0207
K14221	AspU:b0206
K01977	RrsH:b0201
K03273	GmhB:b0200
K14218	AlaV:b0203
K14227	IleV:b0202
K03106	Ffh:b2610
K01305	IadA:b4328
K00219	FadH:b3081
K11391	RlmG:b3084
K10748	Tus:b1610
K14223	GlnW:b0668
K08303	YhbU:b3158
K05520	YhbO:b3153
K03824	YhbS:b3156
K02681	PpdC:b2823
K10550	AlsC:b4086
K07320	PrmB:b2330
K07726	YiaG:b3555
K03704	CspA:b3556
K03826	YiaC:b3550
K08351	BisC:b3551
K00090	GhrB:b3553
K01879	GlyS:b3559
K05837	MrdB:b0634
K07173	LuxS:b2687
K02031	SapD:b1291
K02799	CmtA:b2933
K03712	MprA:b2684
K00688	GlgP:b3428
K02798	CmtB:b2934
K01480	SpeB:b2937
K07387	YggG:b2936
K02439	GlpE:b3425
K00111	GlpD:b3426
K02033	SapB:b1293
K02444	GlpR:b3423
K02034	SapC:b1292
K03782	KatG:b3942
K09888	ZapA:b2910
K03631	RecN:b2616
K02405	FliA:b1922
K02425	FliZ:b1921
K08318	YihU:b3882
K02459	GspJ:b3331
K02460	GspK:b3332
K02461	GspL:b3333
K02462	GspM:b3334
K02464	GspO:b3335
K13381	ChiA:b3338
K02358	TufA:b3339
K02193	CcmA:b2201
K02194	CcmB:b2200
K02570	NapD:b2207
K02567	NapA:b2206
K02573	NapG:b2205
K02574	NapH:b2204
K02054	YdcU:b1442
K01104	Wzb:b2061
K00876	Udk:b2066
K01494	Dcd:b2065
K04046	YegD:b2069
K01247	AlkA:b2068
K03695	ClpB:b2592
K01977	RrsG:b2591
K14224	GltW:b2590
K06180	RluD:b2594
K00626	YqeF:b2844
K14170	PheA:b2599
K02100	AraE:b2841
K01815	KduI:b2843
K00065	KduD:b2842
K03735	EutB:b2441
K03736	EutC:b2440
K01874	MetG:b2114
K03593	Mrp:b2113
K01011	SseA:b2521
K07251	ThiK:b1106
K00574	Cfa:b1661
K02793	ManX:b1817
K01752	SdaA:b1814
K01665	PabB:b1812
K10037	GlnP:b0810
K10036	GlnH:b0811
K04047	Dps:b0812
K02796	ManZ:b1819
K11924	MntR:b0817
K12972	GhrA:b1033
K14233	SerX:b1032
K14237	ValW:b1666
K06214	CsgG:b1037
K04337	CsgE:b1039
K04338	CsgF:b1038
K02686	PriB:b4201
K02990	RpsF:b4200
K02939	RplI:b4203
K02963	RpsR:b4202
K03636	MoaD:b0784
K03635	MoaE:b0785
K03773	FklB:b4207
K01580	GadB:b1493
K06132	YbhO:b0789
K13069	DosC:b1490
K02471	YddA:b1496
