sce_YKL096W	Cwp1:YKL096W
K00381	Met5:YJR137C
K14219	Tr(Ucu)b:tR_UCU_B
K05393	Gef1:YJR040W
K14219	Tr(Ucu)e:tR_UCU_E
K14219	Tr(Ucu)d:tR_UCU_D
K14219	Tr(Ucu)k:tR_UCU_K
K12625	Lsm6:YDR378C
K02872	Rpl16b:YNL069C
K02266	Cox13:YGL191W
K00540	Fet5:YFL041W
K11423	Set2:YJL168C
K03126	Taf12:YDR145W
K03361	Cdc4:YFL009W
K00102	Dld1:YDL174C
K00549	Met6:YER091C
K05310	Las21:YJL062W
K00972	Qri1:YDL103C
K01507	Ipp1:YBR011C
K01739	YML082W:YML082W
K09466	Adr1:YDR216W
K11407	Hda1:YNL021W
K03515	Rev1:YOR346W
K14817	Loc1:YFR001W
K02932	Rpl5:YPL131W
K12590	Rrp46:YGR095C
K06646	Cln3:YAL040C
K00611	Arg3:YJL088W
sce_YGR113W	Dam1:YGR113W
K13348	Sym1:YLR251W
K02999	Rpa190:YOR341W
K03671	Trx2:YGR209C
K08596	Ulp2:YIL031W
K03537	Pop5:YAL033W
K01697	Cys4:YGR155W
K00764	Ade4:YMR300C
K00994	Cpt1:YNL130C
K14016	Ufd1:YGR048W
K00008	Sor1:YJR159W
K12189	Vps25:YJR102C
sce_YPL130W	Spo19:YPL130W
K04078	Hsp10:YOR020C
K07942	Arl1:YBR164C
K14221	Td(Guc)g1:tD_GUC_G1
K14221	Td(Guc)g2:tD_GUC_G2
K01950	Qns1:YHR074W
K11556	Ame1:YBR211C
K14237	Tv(Aac)g3:tV_AAC_G3
K14237	Tv(Aac)g2:tV_AAC_G2
K11684	Bdf1:YLR399C
K00380	Met10:YFR030W
K11497	Mif2:YKL089W
