K01116	Plc1:SPAC22F8.11
K14564	SPBC646.10c:SPBC646.10c
K10746	Exo1:SPBC29A10.05
K06636	Psm1:SPBC29A10.04
K00327	Ccr1:SPBC29A10.01
K11310	Sfc9:SPBC8D2.07c
K10744	SPBC1347.08c:SPBC1347.08c
K12857	Spf38:SPBC1289.11
K13289	Cpy1:SPAC19G12.10c
K01597	Mvd1:SPAC24C9.03
K01868	SPAC24C9.09:SPAC24C9.09
K01897	Lcf1:SPBC18H10.02
K07943	Alp41:SPAC22F3.05c
K01469	SPAC11D3.15:SPAC11D3.15
K12881	Mlo3:SPBC1D7.04
K11888	Cut8:SPAC17C9.13c
K03676	Grx1:SPAC4F10.20
K01104	Pyp2:SPAC19D5.01
K13524	Uga1:SPAC19D5.07
K10592	Ptr1:SPAC19D5.04
K02943	Rpp202:SPBC23G7.15c
K03217	Oxa102:SPBP4H10.03
K04348	Ppb1:SPBP4H10.04
K03122	SPBC28F2.09:SPBC28F2.09
K10992	Sfr1:SPBC28F2.07
K00420	Qcr10:SPBP4H10.08
K03671	Trx1:SPAC7D4.07c
K01802	Ppi1:SPBC28F2.03
K04565	Sod1:SPAC821.10c
K01613	SPAC25B8.03:SPAC25B8.03
K00599	Spb1:SPAC1687.11
K08860	Gcn2:SPBC36B7.09
K03023	Rpc82:SPAPB1E7.03
K01885	SPAC17A5.15c:SPAC17A5.15c
K14400	SPAC4G9.04c:SPAC4G9.04c
K12811	Prp11:SPCC10H11.01
K03128	Taf2:SPAC3A12.05c
K14573	SPBC4F6.14:SPBC4F6.14
K10589	SPAC167.07c:SPAC167.07c
K10356	Myo1:SPBC146.13c
K01012	Bio2:SPCC1235.02
K07390	Grx5:SPAPB2B4.02
K08860	Hri2:SPAC222.07c
K10579	Ubc12:SPCC777.10c
K02984	Rps101:SPAC13G6.02c
K02976	Rps2601:SPAC806.03c
K14327	Upf2:SPAC19A8.08
K09503	SPBC1734.11:SPBC1734.11
K02216	Chk1:SPCC1259.13
K01409	Pgp1:SPCC1259.10
K11759	Rsc4:SPBC1734.15
K12619	Dhp1:SPAC26A3.12c
K02737	Pts1:SPAC4A8.13c
K06134	Coq7:SPBC337.15c
K01637	SPBC1683.11c:SPBC1683.11c
K04499	Rvb1:SPAPB8E5.09
K01733	SPAC9E9.06c:SPAC9E9.06c
K02142	Atp18:SPAC23C4.11
K08504	Bet1:SPAC23C4.13
K00924	Hhp2:SPAC23C4.12
K03013	Rpb5:SPAC23C4.15
K03842	Alg1:SPAC23C4.14
K02350	Rev3:SPAC688.10
K02921	Rpl4301:SPBC800.04c
K06665	Ssn6:SPBC23E6.09
K11483	Hos2:SPAC3G9.07c
K00826	Eca39:SPBC428.02c
K00418	Qcr8:SPAC1782.07
K11824	Apl3:SPBC691.03c
K05528	Och1:SPAC1006.05c
K06674	Cut14:SPBP4H10.06c
K03850	Alg10:SPAC56F8.06c
K12846	SPCC162.01c:SPCC162.01c
K00587	Mam4:SPAC10F6.12c
K10259	Pof1:SPAC57A10.05c
K07407	Mel1:SPAC869.07c
K14536	SPCC553.08c:SPCC553.08c
K00728	Ogm4:SPBC16C6.09
K13333	SPAC1786.02:SPAC1786.02
K14315	Cut11:SPAC1786.03
