K01369	LgmN
K09329	PrrX2
YPL130W	-
K12958	Cav2
K12957	-
YMR307W	-
K14736	TF
K14737	STEAP1
K14739	MT1E
K14739	MT2A
Q562W3	Q562W3
Q562W2	Q562W2
Q562W5	Q562W5
Q562W4	Q562W4
Q562W7	Q562W7
Q562W6	Q562W6
Q562W9	Q562W9
Q562W8	Q562W8
K09666	PomGnt1
K09667	Ogt
K09660	MpdU1
K06142	-
K11502	CenPj
K11503	CenPk
K11979	Ubr7
K11978	Ubr3
K11974	Rnf31
K11976	Rnf216
K11971	Rnf14
K11970	Cul9
K10558	-
Q6RFH5	PLEKHO2
K10551	-
K10555	-
K12779	-
K12775	-
K02469	-
K07235	-
K07541	PigX
MPN452	-
YLR045C	-
K10734	GinS3
K00019	Bdh2
K00019	Bdh1
K10736	Mcm10
K10737	Mcm8
K10730	RecQl4
K10732	GinS1
K10733	GinS2
K00011	Akr1b1
K00012	UgdH
K00013	-
K00014	-
K10739	Rpa2
K00016	LdhAl6a
K00016	LdhAl6b
K00016	LdhA
K00016	LdhB
K00016	LdhC
K09062	-
K09063	Tcf4
K09063	Tcf3
K09063	Tcf12
K09060	-
K09061	C2oRf3
YDR356W	-
K08257	-
K00274	MaoB
K00274	MaoA
K00275	PnpO
K00276	Aoc3
K00276	Aoc2
K00277	Lox
K02865	Rpl10a
K00273	Dao
K00278	-
K00279	-
K15816	-
Sba1	-
K01277	Dpp3
K01276	Dpp7
K01275	CtsC
K01271	-
K01270	-
K01279	Tpp1
K01278	Dpp4
K05198	GriA2
K05199	GriA3
K00906	-
K00907	MylK2
K00907	MylK
K00907	MylK3
K00904	DguOk
K00905	BckDk
K00902	DolK
K00900	PfkFb1
K00900	PfkFb3
K00900	PfkFb2
K00900	PfkFb4
K00901	DgkZ
K00901	DgkQ
K00901	DgkH
K00901	DgkI
K00901	DgkB
K00901	DgkA
K00901	DgkG
K00901	DgkD
K00901	DgkE
K00908	-
K04573	NefM
K01052	LipA
K01051	-
K04570	Bcl2l1
K01057	PglS
K01056	PtrH1
K04575	Als2
K04574	NefH
K02500	-
K05221	P2rX6
K02503	-
K13142	IntS5
K13415	-
K13140	IntS3
K13141	IntS4
K13146	IntS9
K13147	IntS10
K13412	-
K13145	IntS8
K13148	CpsF3l
K13149	IntS12
K13418	-
K13123	GpaTch1
YMR215W	-
K08819	Cdk12
K08819	Cdk13
K03109	Srp9
K03108	Srp72
K03107	Srp68
K03106	Srp54
K03105	Srp19
K08813	Stk33
K03103	MinPp1
YBR078W	-
K03100	-
K06557	ProCr
K06556	Cd200
K06551	SirPg
K06551	SirPa
K06551	SirPb1
K06550	L1cAm
K06088	OCLN
K06081	PvrL1
K06083	WasF3
K06082	FarP2
K06085	Ssx2ip
K06084	Lmo7
K06086	SorBs1
K10949	KdeLr2
K10949	KdeLr3
K10949	KdeLr1
K00488	Cyp27a1
K00487	-
K00486	Kmo
K00485	Fmo2
K00485	Fmo3
K00485	Fmo1
K00485	Fmo4
K00485	Fmo5
K07684	-
K07685	-
K07687	-
K07936	Ran
K07937	Arf1
K07934	Ift27
K07935	RabL5
K07939	Arf4
K07689	-
YMR117C	-
K10054	Pml
K10056	Jup
K08582	SolH
K05751	Abi2
K13627	Slc12a7
K13624	Cp
K08581	CapN13
K15485	BCL2L13
K05768	Gsn
K05768	SciN
K05765	Cfl2
K05765	Cfl1
K05767	IqgAp1
K05767	IqgAp2
K05767	IqgAp3
K05766	Ssh2
K05766	Ssh3
K05766	Ssh1
K05761	Vil1
K05760	Pxn
K05763	Msn
K05762	Rdx
K02945	-
K01423	-
K01420	-
K01427	-
K01424	-
K01425	Gls
K01425	Gls2
K14281	TacC1
K14282	TacC2
K14283	TacC3
K14284	Nxf2b
K14284	Nxf1
K14284	Nxf2
K14285	Nxt2
K14285	Nxt1
K14538	GNL3
K14538	GNL3L
K14539	LSG1
K14536	-
K14289	Xpo5
K08063	RfxAp
K08062	RfxAnk
K08065	NfyB
K05504	Gdf15
K08066	NfyC
K13089	Ilf2
K13088	ElaVl1
K13087	BclAf1
K13084	TmeM55a
K13084	TmeM55b
b1376	-
K11969	AriH2
K12972	-
K12975	-
YMR305C	-
K14759	-
K14752	DOK1
K14753	GNB2L1
K14754	MX1
YBL034C	-
Q562U2	Q562U2
Q562U1	Q562U1
Q562U0	Q562U0
YKR083C	-
K01435	Btd
K03352	AnaPc5
K03353	Cdc16
K03350	Cdc27
K03351	AnaPc4
K03357	AnaPc10
K03354	AnaPc7
K03355	Cdc23
K03358	AnaPc11
K03359	Cdc26
K05534	-
b0426	-
K05535	-
K08056	PdiA3
K00082	-
K05537	-
K05530	-
K05532	-
A6NL76	A6NL76
K13885	ScaRb1
K13882	CorO1a
K13889	-
K12026	TriM56
K12755	Myl9
K12756	Myl10
K12757	Myl12b
K12757	Myl12a
K12750	Myl4
K12023	TriM47
K12020	TriM44
K08058	TapBp
K12758	MylPf
K12406	PklR
K12029	TriM60
K12029	TriM61
K07213	ATOX1
K07210	IkbKg
K11481	AurKa
K11480	AurKc
K11485	Mtf2
K11484	-
K11487	PcgF1
K11489	PcgF5
K11488	PcgF3
K14525	RPP25L
K14525	RPP25
K14296	Nup153
K14294	WibG
K08669	HtrA2
K14293	KpnB1
K08662	-
K08660	CndP2
K10536	-
K10537	-
K14290	Xpo1
K11225	StaT6
K11224	StaT5b
K11227	-
K11226	-
K11221	StaT2
K11220	StaT1
K11223	StaT5a
K11228	-
K00072	Spr
K00070	Hsd3b1
K00070	Hsd3b2
K00071	Hsd11b2
K00071	Hsd11b1
K00076	-
K00077	-
K00074	-
K00075	-
K00078	DhdH
K00079	Cbr1
K00079	Cbr3
P63313	TMSB10
K02291	-
K10284	FbxL18
K10281	FbxL15
K10282	FbxL16
K10283	FbxL17
K09048	CreB3l2
K09048	CreB3l3
K09048	CreB3l1
K09048	CreB3
K09048	CreB3l4
K09045	Atf7
K09046	-
K09047	CreB5
K09042	BacH2
K09042	BacH1
K09043	-
K02296	ArnTl
K02297	-
K08271	StrAda
K08272	Cab39l
K08272	Cab39
K00297	MthFr
K00294	AldH4a1
K00295	-
K00293	-
K00290	-
F6UVQ4	F6UVQ4
B8ZZJ2	B8ZZJ2
K01210	-
K01213	-
K02740	PsmB8
K02741	PsmB9
K00920	Pip4k2a
K00920	Pip4k2c
K00920	Pip4k2b
K00921	PikFyve
K00922	Pik3ca
K00922	Pik3cb
K00922	Pik3cd
K00922	Pik3cg
K00923	Pik3c2b
K00923	Pik3c2a
K00923	Pik3c2g
K00924	Fn3K
K00924	ItgB1bp3
K00925	-
YIR019C	-
K00927	Pgk2
K00927	Pgk1
K00928	-
K04594	LphN3
K04596	Bai1
K15839	GPSM1
K04593	LphN2
K02298	-
K02563	-
K02293	-
K02295	Cry1
K02295	Cry2
K02564	GnpDa2
K02564	GnpDa1
K02565	-
K13163	Msl1
G3V1Y1	G3V1Y1
K13168	ClaSrp
K13169	AkaP17a
K13164	Msl2
K13165	SreK1
K13166	SugP2
K13167	SfrS15
K13160	SynCrip
K13161	HnrNpr
K13162	PcbP4
K13162	PcbP2
K13162	PcbP3
P68133	ACTS
b0163	-
K08873	Smg1
K08870	Twf1
K08870	Twf2
K08871	Brd2
K08876	ScyL1
K08874	TrrAp
K08875	NrbP2
K08875	NrbP1
K08879	HspB8
K03168	-
K03160	Cd40
K03163	Top1mt
K03163	Top1
K03165	Top3a
K03165	Top3b
K03164	Top2b
K03164	Top2a
K06531	PvrL2
K06530	Cd109
K06535	Bsg
K06534	McaM
K06537	Cd151
K06539	Pvr
K12569	Emd
K12568	MybPc3
K12562	AmpH
K12561	MarCks
K12567	Ttn
L0R5C4	L0R5C4
K07918	Rab32
K07664	-
K07665	-
K07910	Rab18
K07660	-
K07661	-
K10077	LayN
B3KUP6	B3KUP6
K05677	AbcD3
K02955	RPS14
K09289	NcoA4
Q9BYD9	ACTT3
K02953	Rps13
K05747	Was
K05747	WasL
K11175	-
K05745	DiaPh3
K05744	LimK2
K11292	SupT6h
K05742	Slc9a1
K05741	DiaPh2
K05740	DiaPh1
K08203	Slc22a6
K09184	-
K05749	CyfIp1
K05749	CyfIp2
K05748	WasF2
K08593	SenP3
K08592	SenP1
K08595	SenP6
K08594	SenP5
K08597	SenP8
K08596	SenP7
K04436	MapK8ip3
K04437	FlnA
K04437	FlnB
K04437	FlnC
K11293	HirA
K04432	Map2k3
K01153	-
K04430	Map2k4
K04431	Map2k7
K01408	Ide
K01409	OsgEp
K01409	OsgEpl1
K04438	Crk
K04438	CrkL
K04439	ArrB2
K04439	ArrB1
K09232	GliS3
K09232	GliS1
K09230	Znf187
K09230	ZscAn18
K09230	ZscAn10
K09230	ZscAn30
K09230	Znf444
K09230	ZscAn5a
K09230	Znf449
K09230	ZscAn4
K09230	ZscAn23
K09230	ZscAn1
K09230	Znf396
K09230	Znf397
K09230	Znf193
K09230	Znf232
K09230	ZscAn29
K09230	ZscAn20
K09230	ZscAn21
K09230	ZscAn22
K09230	ZscAn5b
K09230	Znf24
K09230	Znf165
K09230	ZscAn16
K09236	TshZ2
K09236	TshZ3
K09236	TshZ1
K09235	-
K09238	-
K08043	AdcY3
K05520	-
K08047	AdcY7
K05529	-
K05528	-
Q13841	Q13841
K14510	-
K14513	-
K14514	-
K14515	-
Q53GK6	Q53GK6
K00323	Nnt
K01754	-
K04507	CacYbp
K04505	PseN1
K01750	-
K02178	Bub1
YDL049C	-
K01752	Sds
K01021	TpsT2
K01021	TpsT1
K01790	-
K03374	ST6GALNAC4
K03804	-
K03805	-
K03371	St8Sia1
K03800	-
K03801	LipT2
K10375	Tpm4
K10376	SynM
K10370	TmoD4
K10370	TmoD1
K10370	TmoD3
K10370	TmoD2
K06949	-
K13205	C20Orf4
K13204	Znf326
K13207	CelF6
K13207	CelF5
K13207	CelF4
K13207	CelF3
K13207	CelF2
K13207	CelF1
K13206	CcdC55
K13201	TiaL1
K13200	StrBp
K13203	Zfr
K13202	Toe1
K11288	TspYl5
K13209	EwsR1
K13208	ElaVl4
K13208	ElaVl2
K13208	ElaVl3
K10154	Irf6
K12006	TriM16l
K12006	TriM16
K12008	TriM26
K12009	TriM27
K10625	Ubr1
YJL026W	-
K13214	NonO
K08608	AdaM19
K08601	CylD
K08606	Mep1b
K06276	PdpK1
K06277	RapGef1
K06274	VasP
K06275	ParVb
K06275	ParVa
K06275	ParVg
K06272	Ilk
K06273	Zyx
K06270	Ppp1r12a
K06271	Tln2
K06271	Tln1
K10516	ZbtB45
K10510	ZbtB38
K06278	Cav1
K06279	Shc4
K06279	Shc1
K06279	Shc2
K06279	Shc3
K05804	-
K12740	NktR
K11205	GclM
K11204	GclC
K00058	PhgDh
K00059	-
K00728	PomT1
K00728	PomT2
K00729	Alg5
K00726	MgaT1
K00725	B4gAlnt1
K00051	-
K00052	-
K00053	-
YMR294W	-
K14187	-
K01239	-
K01238	-
K01899	SucLg1
K01897	AcsL3
K01897	AcsL1
K01897	AcsL6
K01897	AcsL4
K01897	AcsL5
K01897	AcsBg2
K01896	AcsM1
K01896	AcsM3
K01896	AcsM5
K01896	AcsM2a
K01896	AcsM2b
K01896	AcsM4
K01231	Man2a2
K01231	Man2a1
K01230	Man1b1
K01230	Man1c1
K01230	Man1a1
K01230	Man1a2
K01237	-
K01892	HarS
K01892	HarS2
K01890	FarSb
K02768	-
K02769	-
YJL160C	-
K02760	-
K00948	PrpS1l1
K00948	PrpS2
K00948	PrpS1
K00949	Tpk1
K00942	Guk1
K00943	DtyMk
K00940	Nme4
K00940	Nme5
K00940	Nme6
K00940	Nme7
K00940	Nme1
K00940	Nme2
K00940	Nme3
K00940	Nme1-nme2
K00941	-
K00946	-
K00944	Ak3
K00945	-
K01097	NanP
K01092	ImpA1
K01092	ImpA2
K01091	Pgp
K01090	Ppm1g
K01090	Ppm1f
K01090	Ppm1e
K01090	Ppp1r1b
K01090	UblCp1
K01090	Ppp4c
K01090	Ppm1m
K01090	PpeF2
K01090	PpeF1
K01090	PhlPp1
K01090	Ppp6c
K01090	PhlPp2
K01090	CtdP1
K01090	CtdSp1
B4DHK9	B4DHK9
K01099	OcrL
K01099	InpP5b
K01099	SynJ1
K01099	InpP5e
K01099	SynJ2
K01098	-
K15360	STRA13
K15361	WDR48
K15362	BRIP1
K03495	Mto1
K03494	St3Gal4
K02540	Mcm2
K02541	Mcm3
K02542	Mcm6
K03143	Gtf2h3
K03142	Gtf2h2
K03142	GTF2H2D
K03142	GTF2H2C
K03141	Gtf2h1
SPCC645.05c	-
K03147	-
K03146	-
K03144	Gtf2h4
K08854	Bmp2k
K08855	Gak
K08856	Stk16
K03148	-
K03639	MocS1
K08851	Tp53rk
K08852	Ern1
K08853	Aak1
K06519	Slc3a2
K06047	Ttl
K06041	-
K06514	Thy1
EpmA	-
K09892	-
B4DT29	B4DT29
K07648	-
K01535	-
K07390	GlrX5
K10895	FanCi
K10894	FanCg
K10896	FanCm
K10891	FanCd2
K10899	RecQl
K07026	-
K07912	Rab24
K10099	FbxO2
K10091	LgaLs4
K10090	LgaLs2
K10092	LgaLs7b
K10092	LgaLs7
K01395	Mep1a
K01392	ThoP1
K01393	Nln
YKR037C	-
B4DMT4	B4DMT4
K05720	Fgd1
K07917	Rab30
K05725	Ptk2
K05894	-
K07662	-
K00555	TrmT1
K00557	-
K00551	PemT
K00550	-
K00552	GnmT
K00559	-
K00558	DnmT3b
K00558	DnmT1
K00558	DnmT3a
K00558	TrdMt1
K00558	DnmT3l
K04410	Pak2
K04411	Stk4
K04412	Stk3
K04413	MinK1
K04414	Map4k2
K01176	Amy1c
K01176	Amy1a
K01176	Amy2a
K01176	Amy2b
K01176	Amy1b
K01177	-
K01179	-
K14572	MDN1
K14573	RBM28
K05099	Met
K14571	NVL
K14574	SBDS
K14575	SPATA5
K08882	TriM28
YOR214C	-
K02159	Bax
K02158	Bad
K02157	AxiN1
K08955	Yme1l1
K02155	Atp6v0c
K02154	TciRg1
K02154	Atp6v0a4
K02154	Atp6v0a1
K02154	Atp6v0a2
K02152	Atp6v1g3
K02152	Atp6v1g2
K02152	Atp6v1g1
K02151	Atp6v1f
K02150	Atp6v1e1
K02150	Atp6v1e2
K03062	PsmC1
K08956	Afg3l2
K03828	-
K11665	Ino80
K11664	Vps72
K04461	Ppm1b
K03824	-
K11661	SrcAp
K13221	Wdr77
K13220	Wbp4
K12799	PycArd
K12791	ArhGef2
K12792	TriP6
K12793	Tab3
K12795	SugT1
K12796	ErbB2ip
K07258	-
K07253	Mif
K07252	DolPp1
K07250	-
K14498	-
K08622	AdaMts7
K08626	AdaMts12
K08625	AdaMts10
K06251	Vtn
K06252	Tnn
K06252	TnxB
K06252	Tnc
K06252	Tnr
K06254	AgrN
K06255	HspG2
K06256	Cd44
K06709	Kdm4c
K06709	Kdm4b
K06709	Kdm4a
K06709	Kdm4d
K06258	Sv2A
K06258	Sv2C
K06258	Sv2B
K06259	Cd36
K06704	AdaM10
K06700	PsmF1
K06123	-
K11269	ChtF18
K11268	EscO2
K11268	EscO1
K11262	AcaCa
K11262	AcaCb
K11267	Pds5a
K11267	Pds5b
K11266	Mau2
K12751	Myl6
K12751	Myl6b
K10798	ParP4
K10798	ParP1
K10798	ParP2
K10798	ParP3
K00703	-
K00705	-
K00706	-
K10439	-
K05502	Bmp1
K10137	ZmaT3
K10134	Ei24
K10133	Tp53i3
K10130	LrdD
K10139	SerPinb5
K04625	Tas1r2
K04628	Ugt8
K00965	GalT
K00966	GmpPa
K00966	GmpPb
K00967	PcyT2
K00962	PnpT1
K00963	Ugp2
K14966	HCFC2
K14966	HCFC1
K00968	PcyT1a
K00968	PcyT1b
K14962	WDR82
K15309	CRTC1
K15303	AKR7A2
K15306	RANBP1
K15307	GPS2
K15304	RANBP3
K15305	VAC14
K09377	CsrP1
K09377	CsrP3
K09377	CsrP2
K09370	Isl1
K09370	Isl2
K09378	ZfhX3
K08367	RunX1
K00415	UqcRc2
K02701	-
K01611	Amd1
K01610	-
K01613	PisD
K01619	DerA
K02830	Rad1
K02831	-
K02833	HraS
K02835	MtrF1
K02835	MtrF1l
K05288	PigO
K02837	-
K02838	MrrF
K05284	PigM
K05285	PigN
K05282	-
K05283	PigW
K05280	-
K08883	TriM33
K03610	-
K06067	HdaC1
K06067	HdaC2
K06066	Cir1
K06065	NcoR2
K06063	Snw1
K11883	Nob1
K06069	PrkCi
K06069	PrkCz
K06068	PrkCq
K06068	PrkCh
K06068	PrkCe
K06068	PrkCd
Q9P1U1	ARP3B
YOR373W	-
K10379	BfsP2
K12475	Dab2
K12474	LdlRap1
K12477	Ehd4
Q9NZ32	ARP10
K12471	Epn1
K12471	Epn3
K12471	Epn2
K12470	Sh3Kbp1
K12473	LdlR
K12472	Eps15
K12479	Vps45
K12478	Eea1
K11076	-
K10458	KlhL21
K11072	-
K11073	-
K09189	Mll5
K09188	Mll3
K10307	FbxO30
K10306	FbxO28
K10301	FbxO21
K10300	FbxO18
K10302	FbxO22
K05743	LimK1
K01411	Nrd1
K09187	Mll2
K09186	Mll
K09186	Mll4
K05916	-
K05917	Cyp51a1
K02737	PsmB5
K00392	-
K00390	-
K01379	CtsD
K01372	BlmH
K11803	DcaF12
K01370	CasP1
K05879	-
K05878	-
K05875	-
K05702	MllT4
K05701	Tjp1
K05700	Vcl
K05871	Ptk2b
K05870	CreB1
K05705	Yes1
K05872	NfkBie
K00574	-
K00573	-
K00571	N6aMt1
K15795	-
K01118	-
K01119	-
K01405	-
K01112	PhpT1
K01112	MtmR6
K01112	MtmR7
K01112	MtmR2
K01112	MtmR1
K01110	PteN
K01111	-
K01116	-
K01114	-
K01115	Pld1
K01115	Pld2
K10372	TnnT1
K08081	-
K04433	Map2k6
K14558	PWP2
K14559	MPHOSPH10
K14554	WDR36
K14555	TBL3
K14556	WDR3
K14557	UTP6
K14550	HEATR1
K14551	-
K14552	WDR75
K10373	Tpm1
K10428	DctN6
K10429	Map1a
K10429	Map1b
K10429	Map1s
K10453	Gan
K01158	DnaSe2b
K01158	DnaSe2
K07296	AdiPoq
K07526	SrgAp1
K07526	SrgAp3
K07526	SrgAp2
K07520	AblIm1
K07520	AblIm3
K07520	AblIm2
K10422	CliP2
K10423	CliP3
K10423	CliP4
K05636	LamB1
K00938	-
K10754	Rfc1
K02139	-
K02138	Atp5h
K01755	Asl
K02131	Atp5j
K02130	Atp5j2
K02133	Atp5b
K02132	Atp5a1
K02135	Atp5e
K02134	Atp5d
K02137	Atp5o
K02136	Atp5c1
K03842	Alg1
K03843	Alg2
K03841	Fbp1
K03841	Fbp2
K03846	Alg9
K03847	Alg12
K03844	Alg11
K03845	Alg3
K03848	Alg6
K03849	Alg8
K13025	Eif4a3
K13024	PpiP5k2
K13024	PpiP5k1
?	S100A11
K12260	SrxN1
K12261	HacL1
K04890	KcnC4
K12233	HecTd3
K01757	-
K12231	HecTd1
K12230	Pik3ap1
K12236	Nfx1
K13249	Ssr1
K12891	SrsF8
K12891	SrsF2
P42025	ACTY
K13240	Nos1
K13247	CryL1
K03267	GspT2
K03267	GspT1
K03264	Eif6
K03265	Etf1
K03262	Eif5
K03263	Eif5a2
K03263	Eif5a
K03260	Eif4g3
K03260	Eif4g2
K03260	Eif4g1
K03261	-
K12414	-
K11799	DcaF4
K11798	BrwD3
K11798	BrwD1
K11791	DcaF15
K11790	Dtl
K11793	CrbN
K11792	Dda1
K11795	DcaF6
K11797	PhiP
K11796	TrpC4ap
K12044	TnnI3
K06729	PtgFrn
K06238	Col6a1
K06238	Col6a3
K06238	Col6a2
K06238	Col6a6
K12047	MgaM
K12041	Slc9a6
K12042	TnnC2
K12043	TnnI2
K06233	Lrp2
K06230	Gli2
K06230	Gli3
K06230	Gli1
K06724	Nrp1
K06237	Col4a6
K06237	Col4a4
K06237	Col4a2
K06237	Col4a1
K06726	-
K06235	Zic2
K11242	-
K11241	-
K11240	-
K11531	-
K11244	-
K11248	Sh3Glb1
K11248	Sh3Glb2
K11539	Cbr4
K11538	AcaD8
K00762	-
K00763	-
K00760	HprT1
K00761	UprT
K00766	-
K00767	QprT
K00764	PpaT
K00765	-
K00163	-
K10214	AcoX2
D2JYH4	D2JYH4
b2516	-
K10111	-
Mmf1	-
K04640	-
K04645	CltB
K04644	CltA
K04646	CltCl1
K04646	CltC
K04649	Ube2k
K04648	DctN1
K15541	-
K15542	WDR33
K15543	-
K15544	SSU72
YNR067C	-
K15095	-
K00988	-
K00987	-
K00982	-
K00983	CmaS
K00981	Cds1
K00981	Cds2
K15893	-
K15891	-
K01585	-
K01587	PaiCs
K01586	-
K13498	-
K01580	Gad1
K01580	Gad2
K01583	Adc
YDR016C	-
K13496	-
K13497	-
K01589	-
K01588	-
K13493	-
K09355	Pbx4
K09355	Pbx2
K09355	Pbx3
K09355	Pbx1
K09356	PitX1
K09359	-
K08341	GabArap
K08341	GabArapl1
K08341	GabArapl2
K08342	Atg4c
K08342	Atg4b
K08342	Atg4a
K08342	Atg4d
K08343	Atg3
K02728	PsmA4
K02729	PsmA5
F8VSD1	F8VSD1
K02725	PsmA1
K02726	PsmA2
K02727	PsmA3
K02723	-
K03989	C4a
K03989	C4b
K03987	C1qB
K03985	PlaUr
K03456	Ppp2r1a
K03456	Ppp2r1b
K03983	SerPinf2
K03982	SerPine1
K03981	-
K01639	Npl
K01638	-
K01637	-
K01634	SgpL1
K01633	-
K02858	-
K14050	RabGgta
K02580	NfkB1
K02581	NfkBib
K02583	NgfR
K03679	ExoSc2
K03678	ExoSc9
Q9H568	ACTL8
K03671	Txn2
K03671	Txn
K03673	-
K03672	-
K03675	-
K03676	GlrX2
K03676	GlrX
K06001	-
K06009	-
SPBC21B1008c	-
K03184	-
K03183	-
K03182	-
YBL063W	-
K12456	AnaPc13
K12451	-
K12450	-
K07608	Ina
K07609	Nes
K07359	CamKk2
K07359	CamKk1
K07604	Krt39
K07604	Krt38
K07604	Krt31
K07604	Krt33b
K07604	Krt33a
K07604	Krt32
K07604	Krt35
K07604	Krt34
K07604	Krt37
K07604	Krt36
K07604	Krt9
K07604	Krt28
K07604	Krt23
K07604	Krt20
K07604	Krt40
K07604	Krt27
K07604	Krt24
K07604	Krt25
K07604	Krt17
K07604	Krt16
K07604	Krt15
K07604	Krt14
K07604	Krt13
K07604	Krt12
K07604	Krt10
K07604	Krt19
K07604	Krt18
K07605	Krt75
K07605	Krt74
K07605	Krt77
K07605	Krt76
K07605	Krt71
K07605	Krt73
K07605	Krt72
K07605	Krt4
K07605	Krt79
K07605	Krt78
K07605	Krt3
K07605	Krt2
K07605	Krt1
K07605	Krt6b
K07605	Krt6c
K07605	Krt5
K07605	Krt6a
K07605	Krt8
K07605	Krt80
K07605	Krt81
K07605	Krt82
K07605	Krt83
K07605	Krt84
K07605	Krt85
K07605	Krt86
K07605	Krt7
K07606	Vim
K07607	PrpH2
K07607	PrpH
K07601	Dsc2
P60709	ACTB
YLR037C	-
YJL078C	-
K05931	CarM1
K05933	-
B7Z6P1	B7Z6P1
K10323	Asb1
K10328	Asb6
K01358	ClpP
K01359	PcsK1
YKL164C	-
K01355	-
K01356	-
K05857	PlcD4
K05857	PlcD3
K05857	PlcD1
K08576	CapN7
K05854	Lyn
K05853	Atp2a1
K05853	Atp2a2
K05853	Atp2a3
K05850	Atp2b1
K05850	Atp2b3
K05850	Atp2b2
K05850	Atp2b4
K02926	-
K03376	ST6GALNAC6
K05859	PlcG2
K05859	PlcG1
K05858	PlcB1
K05858	PlcB2
K05858	PlcB3
K05858	PlcB4
K02925	Rpl3l
K02925	Rpl3
K00518	Sod3
K03372	Slc33a1
K00511	SqlE
K00510	HmoX1
K00510	HmoX2
K00514	-
K00517	-
K09291	Tpr
K09290	Tpm3
K09292	Tfg
K08860	Eif2ak1
K08860	Eif2ak3
K08860	Eif2ak2
K08860	Eif2ak4
K09299	Zeb1
K09299	Zeb2
Q9C0K3	ARP3C
YLR301w	-
K03152	-
K14207	Slc38a2
K01134	ArsA
K04455	HspB1
K01136	Ids
K04457	Ppm1a
K01130	-
K04451	Tp53
K01132	GalNs
K04453	Max
Q9Y614	ACL7B
Q9Y615	ACL7A
K04458	PtpN7
K04458	PtpRr
K04458	PtpN5
K04459	DusP6
K04459	DusP10
K04459	DusP9
K04459	DusP8
K04459	DusP4
K04459	DusP5
K04459	DusP14
K04459	DusP22
K04459	DusP16
K04459	DusP1
K04459	DusP7
K04459	DusP3
K04459	DusP2
K02113	-
K02112	-
K02111	-
K02115	-
K02114	-
K02449	Cdk10
K11544	Dsn1
AT1G74090	-
K03869	Cul3
K11817	-
K04512	DaaM1
K04512	DaaM2
K03860	PigQ
K11541	-
K02035	-
K06062	Kat2b
K06062	Kat2a
K11548	Nuf2
Q562M3	Q562M3
YML104C	-
YNR044W	-
Q562M5	Q562M5
K06505	Cd74
K11819	-
SPAC27F1.02c	-
K10634	Pja2
K03240	Eif2b5
K03241	Eif2b3
K03242	Eif2s3
K03243	Eif5b
K03245	Eif3j
K03246	Eif3i
K03247	Eif3h
K03248	Eif3g
K03249	Eif3f
K10632	BraP
K12200	PdcD6ip
K16185	RRAGA
K16184	AKT1S1
K16186	RRAGC
K16189	-
K13917	RngTt
K06215	-
K06210	NmnAt2
K06210	NmnAt3
K06210	NmnAt1
K06211	-
K06749	SigLec10
K11519	DerL1
K11518	TomM40
K11518	TomM40l
K11517	Hao1
K11517	Hao2
K11515	IncEnp
K11514	CdcA8
K11513	Mlf1ip
K11512	CenPt
K11511	ApiTd1
K11510	ItgB3bp
K00748	-
K00749	-
YJR004C	-
K00746	CSGALNACT2
K00747	ChpF
K00741	B3gNt1
K00741	B3gNt2
K10177	Tbx3
K10174	Tbr1
K01839	-
K01835	Pgm1
K01835	Pgm2
K01834	PgaM4
K01834	PgaM2
K01834	PgaM1
K01837	BpgM
K01836	Pgm3
K04667	InhBa
K04667	InhBb
K04667	InhBc
K04667	InhBe
K01830	PtgDs
K01830	HpgDs
K04664	Gdf7
K04664	Gdf6
K04664	Gdf5
K09338	-
K08329	-
K08321	-
K08325	-
K01659	-
K01658	-
K01653	-
K01652	-
K01655	-
K01657	-
K01656	-
K02874	-
K02875	Rpl14
K02876	-
K02877	Rpl15
K02870	Rpl12
K02871	MrpL13
K02872	Rpl13a
K02873	Rpl13
K02878	-
K02879	-
K14075	PnlIprp2
K14074	PnlIprp1
K14073	PnlIp
K06027	Nsf
b4243	-
K03474	-
K03473	-
K03471	-
K02304	-
K02308	DaxX
K03652	Mpg
K03657	-
K03655	-
K03658	-
K06689	Ube2d2
K06689	Ube2d4
K06689	Ube2e1
K06689	Ube2d3
K06689	Ube2e3
K06689	Ube2d1
K06689	Ube2e2
K06688	Ube2c
K06687	-
K06685	-
K06684	-
K06682	-
K06681	-
K07378	NlgN4x
K07378	NlgN2
K07378	NlgN3
K07378	NlgN1
K07379	CntNap1
K07370	Btk
K07372	Gja1
K07374	TubA3c
K07374	TubA8
K07374	TubA3e
K07374	TubA3d
K07374	TubA1c
K07374	TubA1b
K07374	TubA1a
K07374	TubAl3
K07374	TubA4a
K07375	TubB8
K07375	TubB6
K07375	TubB4
K07375	TubB3
K07375	TubB1
K07375	TubB2c
K07375	TubB2a
K07375	TubB
K07375	TubB2b
K07377	NrxN3
K07377	NrxN2
K07377	NrxN1
K01315	Plg
SPCC57603c	-
K11166	DhrS7b
K11164	DhrS2
K07889	Rab5c
K11162	Rdh14
K11163	DhrS1
K11161	Rdh13
K07882	Rab3a
K07883	Rab3c
K07880	Rab4b
K07881	Rab14
K07886	Rab27b
K07887	Rab5a
K07884	Rab3d
K07885	Rab27a
K00357	QdpR
K00355	Nqo1
K00354	-
K05953	-
K05956	RabGgtb
K05954	FntB
K05955	FntA
K00688	PygB
K00688	PygL
K00688	PygM
K10342	Wsb2
K10347	LrrC41
