K06013	STE24:YJR117W
K10703	PHS1:YJL097W
K00965	GAL7:YBR018C
K11713	CDC43:YGL155W
K16365	SGT2:YOR007C
K11756	RSC2:YLR357W
K08513	SNC1:YAL030W
K01756	ADE13:YLR359W
K14228	tL(UAG)L1:tL_UAG_L1
K15100	SFC1:YJR095W
K09238	ACE2:YLR131C
K14765	LCP5:YER127W
K11879	PBA1:YLR199C
K03242	GCD11:YER025W
K00995	PGS1:YCL004W
K15902	PCC1:YKR095W-A
K10689	PEX4:YGR133W
K14405	Fip1:YJR093C
K02155	VMA3:YEL027W
K14225	tG(GCC)M:tG_GCC_M
K00772	MEU1:YLR017W
K14225	tG(GCC)E:tG_GCC_E
K14225	tG(GCC)B:tG_GCC_B
K14225	SUF16:tG_GCC_C
K02858	RIB3:YDR487C
K08331	ATG13:YPR185W
K00547	Sam4:YPL273W
K05758	ARC35:YNR035C
K02910	RPL31B:YLR406C
K03671	TRX3:YCR083W
K03846	ALG9:YNL219C
K04567	KRS1:YDR037W
K04371	KSS1:YGR040W
K00161	PDA1:YER178W
K01230	Mnl2:YLR057W
K04646	CHC1:YGL206C
K04640	GPA1:YHR005C
K08794	CMK1:YFR014C
K12843	PRP3:YDR473C
K10772	APN2:YBL019W
K14827	IPI1:YHR085W
K14311	NUP188:YML103C
K14785	ESF2:YNR054C
K06673	SCC4:YER147C
K01383	BAR1:YIL015W
K12859	DIB1:YPR082C
K12618	XRN1:YGL173C
K14222	tC(GCA)G:tC_GCA_G
K02731	PRE6:YOL038W
K08141	MPH3:YJR160C
K01923	ADE1:YAR015W
K00521	FRE5:YOR384W
K14649	Taf8:YML114C
K01514	PPX1:YHR201C
K11092	LEA1:YPL213W
K10858	Pms1:YNL082W
K00521	FRE6:YLL051C
K03039	RPN9:YDR427W
K03016	RPB8:YOR224C
K01656	TRP3:YKL211C
K11309	RTT109:YLL002W
K02537	MAD2:YJL030W
K13103	SPP382:YLR424W
K02981	RPS2:YGL123W
K00428	CCP1:YKR066C
K18187	PET100:YDR079W
K01057	SOL4:YGR248W
K00863	DAK1:YML070W
K16261	HIP1:YGR191W
K02871	MRPL23:YOR150W
K15280	YMD8:YML038C
K03232	EFB1:YAL003W
K06961	KRR1:YCL059C
K11434	HMT1:YBR034C
K01652	ILV2:YMR108W
K08286	KIN82:YCR091W
K06117	GPP2:YER062C
K13342	PEX5:YDR244W
K18717	ASM4:YDL088C
K07937	ARF2:YDL137W
K03000	RPA12:YJR063W
K04441	HOG1:YLR113W
K09518	HLJ1:YMR161W
K00318	PUT1:YLR142W
K03258	TIF3:YPR163C
K15903	GON7:YJL184W
K00670	NAT1:YDL040C
K10258	TSC13:YDL015C
K12815	PRP16:YKR086W
K11663	VPS71:YML041C
K18573	ICP55:YER078C
K14222	tC(GCA)Q:tC_GCA_Q
K07937	ARF1:YDL192W
K17080	PHB1:YGR132C
K13126	Pab1b:YER165W
K10885	YKU80:YMR106C
K08293	SMK1:YPR054W
K15444	TRM9:YML014W
K14222	tC(GCA)B:tC_GCA_B
K03131	TAF6:YGL112C
K08286	KIN4:YOR233W
K08330	ATG11:YPR049C
K01104	Mtm1:YGR257C
K17771	TOM7:YNL070W
K02147	VMA2:YBR127C
K11338	RVB2:YPL235W
K03358	APC11:YDL008W
K17798	MSS2:YDL107W
K11135	PXR1:YGR280C
K01424	ASP3-1:YLR155C
K08139	HXT13:YEL069C
K11226	STE7:YDL159W
K02894	RPL23A:YBL087C
K04354	CDC55:YGL190C
K03842	ALG1:YBR110W
K06009	MKC7:YDR144C
K11554	CTF19:YPL018W
K04082	JAC1:YGL018C
K13367	FMS1:YMR020W
K15117	OAC1:YKL120W
K14862	URB2:YJR041C
K07238	ZRT3:YKL175W
K15458	SAP190:YKR028W
K11501	CTF3:YLR381W
K14997	AVT2:YEL064C
K14778	DBP8:YHR169W
K12668	OST2:YOR103C
K12597	AIR2:YDL175C
K18171	CMC1:YKL137W
K02962	RPS17B:YDR447C
K01702	LEU1:YGL009C
K08286	KKQ8:YKL168C
K00567	MGT1:YDL200C
K02327	POL3:YDL102W
K00134	TDH2:YJR009C
K11679	IES5:YER092W
K14219	tR(UCU)Q1:tR_UCU_Q1
K12670	WBP1:YEL002C
K15264	RCM1:YNL022C
K05290	GPI8:YDR331W
K02947	RPS10A:YOR293W
K00088	IMD4:YML056C
K14822	CGR1:YGL029W
K18328	DBR1:YKL149C
K07300	VCX1:YDL128W
K04348	CNA1:YLR433C
K14219	HSX1:tR_CCU_J
K14313	NUP53:YMR153W
K14306	NSP1:YJL041W
K06072	LIA1:YJR070C
K14219	tR(UCU)G1:tR_UCU_G1
K11768	ARP9:YMR033W
K14219	tR(UCU)G2:tR_UCU_G2
K02737	PRE2:YPR103W
K08851	BUD32:YGR262C
K01111	DOG2:YHR043C
K12589	RRP42:YDL111C
K00134	TDH1:YJL052W
K17656	MSS51:YLR203C
K06689	UBC5:YDR059C
K11371	AHC2:YCR082W
K00931	PRO1:YDR300C
K10704	MMS2:YGL087C
K03231	Tef1:YPR080W
K01598	Cab3:YKL088W
K17815	EXO5:YBR163W
K18477	RMT2:YDR465C
K14810	DBP9:YLR276C
K14543	Mtr2:YKL186C
K15428	DUG1:YFR044C
K07561	DPH1:YIL103W
K00416	Qcr6:YFR033C
K16196	GCN2:YDR283C
K17774	MDM10:YAL010C
K15116	RIM2:YBR192W
K14235	tW(CCA)J:tW_CCA_J
K02880	RPL17B:YJL177W
K09247	HAP1:YLR256W
K01090	PTC4:YBR125C
K04706	SIZ1:YDR409W
K00162	PDB1:YBR221C
