KO number	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
K04640	NaN	NaN	1050	2416	3976	4467	NaN	NaN	NaN
K04536	NaN	NaN	NaN	NaN	NaN	NaN	11.759	355.058	NaN
K04537	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.925	NaN
K07826	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04546	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	804.208	NaN
K04548	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	276.564	NaN
K07835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.3	NaN
K07974	NaN	NaN	NaN	7340	9899	7003	NaN	NaN	NaN
K07863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07870	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.672	NaN
K07975	NaN	NaN	NaN	7595	42872	51845	19.761	NaN	NaN
K07874	NaN	NaN	NaN	NaN	18857	27858	109.983	1133.58	NaN
K07875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.309	NaN
K07882	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06108	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07884	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07886	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	310.234	NaN
K07891	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07899	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07900	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07901	NaN	NaN	NaN	NaN	8548	13122	NaN	NaN	NaN
K06109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07904	NaN	NaN	NaN	NaN	NaN	NaN	NaN	866.889	NaN
K07910	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.056	NaN
K07917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.096	NaN
K07918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.844	NaN
K07976	NaN	NaN	1523	NaN	51046	75778	990.004	1388.638	NaN
K07937	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07941	NaN	NaN	NaN	NaN	888	1417	NaN	75.323	NaN
K07942	NaN	NaN	NaN	NaN	NaN	NaN	21.937	101.588	NaN
K07943	NaN	NaN	NaN	NaN	NaN	NaN	10.233	31.355	NaN
K07944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.928	NaN
K07977	NaN	NaN	118786	59873	85467	52828	1122.735	1066.673	NaN
K10062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03991	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10067	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10068	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11139	NaN	157	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13823	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04646	NaN	NaN	3261	1135	27158	26641	277.169	403.454	NaN
K02218	NaN	NaN	NaN	424	22195	14286	8.835	161.492	NaN
K12192	NaN	NaN	NaN	NaN	NaN	NaN	12.781	62.974	NaN
K12193	NaN	NaN	1018	NaN	1107	NaN	212.746	271.606	NaN
K12190	NaN	NaN	NaN	NaN	146	NaN	6.577	2.464	NaN
K12191	NaN	NaN	NaN	NaN	169	1929	954.962	1414.418	NaN
K12196	NaN	NaN	NaN	NaN	3374	1244	69.643	113.191	NaN
K12197	NaN	NaN	NaN	NaN	302	3290	102.39	86.579	NaN
K12195	NaN	NaN	NaN	NaN	NaN	NaN	133.968	263.694	NaN
K12198	NaN	NaN	NaN	NaN	4407	2142	71.491	290.133	NaN
K12199	NaN	NaN	NaN	NaN	NaN	NaN	20.496	65.104	NaN
K12200	NaN	NaN	NaN	548	1306	NaN	103.266	133.444	NaN
K12185	NaN	NaN	NaN	NaN	NaN	NaN	42.215	314.876	NaN
K12184	NaN	NaN	NaN	NaN	NaN	NaN	16.507	98.599	NaN
K12186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.1	NaN
K07897	NaN	NaN	NaN	NaN	4716	14434	439.505	178.937	NaN
K15053	NaN	NaN	NaN	NaN	100	718	2.12	38.321	NaN
K01528	NaN	NaN	NaN	1102	7790	4643	263.226	373.45	NaN
K12479	NaN	NaN	NaN	NaN	NaN	NaN	4.966	19.47	NaN
K11839	NaN	NaN	13099	6092	618	NaN	NaN	12.752	NaN
K11827	NaN	NaN	NaN	NaN	NaN	NaN	74.189	178.853	NaN
K11826	NaN	NaN	NaN	NaN	2994	8731	13.669	121.193	NaN
K11824	NaN	NaN	1737	188	1995	2638	24.927	170.243	NaN
K12488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.467	NaN
K12489	NaN	NaN	NaN	NaN	NaN	NaN	28.077	9.108	NaN
K12486	NaN	NaN	1187	NaN	NaN	NaN	47.508	25.926	NaN
K12483	NaN	NaN	NaN	NaN	NaN	NaN	16.494	485.109	NaN
K11866	NaN	NaN	NaN	NaN	1210	3889	2.266	8.066	NaN
K12493	NaN	NaN	NaN	NaN	5317	3939	127.3	142.641	NaN
K12492	NaN	NaN	1109	NaN	16122	1757	66.076	63.462	NaN
K12494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.928	NaN
K12471	NaN	NaN	NaN	NaN	14143	7686	173.576	35.082	NaN
K04644	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.522	NaN
K11248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	132.261	NaN
K12472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00909	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00910	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.27	NaN
K08291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.687	NaN
K06278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12182	NaN	NaN	NaN	NaN	3133	5157	NaN	96.264	NaN
K12183	NaN	NaN	NaN	NaN	NaN	NaN	4.483	148.913	NaN
K12188	NaN	NaN	NaN	NaN	NaN	NaN	0.478	5.617	NaN
K12189	NaN	NaN	NaN	NaN	802	NaN	23.086	30.574	NaN
K12194	NaN	NaN	NaN	NaN	10961	2642	135.074	541.264	NaN
K12476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12477	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12480	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12481	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.6	NaN
K12482	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12484	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.818	NaN
K12485	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.787	NaN
K06093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.493	NaN
K06069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05737	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12487	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12490	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.59	NaN
K12495	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.001	NaN
K04392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	261.792	NaN
K04659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.71	NaN
K13882	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02148	NaN	NaN	NaN	NaN	11896	21883	364.286	157.7	NaN
K02150	NaN	NaN	NaN	7669	12694	27052	1111.833	1127.262	NaN
K02153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.203	NaN
K05653	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1049.033	NaN
K01363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	152.556	NaN
K12307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.644	NaN
K13444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.09	NaN
K13443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	381.988	NaN
K12386	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.926	NaN
K06528	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.732	NaN
K12387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.236	NaN
K01379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1067.537	NaN
K01373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	142.244	NaN
K01371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	188.664	NaN
K12309	NaN	NaN	NaN	NaN	NaN	NaN	0.147	49.349	NaN
K12316	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01158	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.253	NaN
K12382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	280.134	NaN
K12383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12384	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.774	NaN
K05656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12388	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.388	NaN
K12392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	209.866	NaN
K12393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.99	NaN
K12394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.517	NaN
K12396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.031	NaN
K12397	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.086	NaN
K12398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.029	NaN
K12399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.958	NaN
K12403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.683	NaN
K05940	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.649	NaN
K13345	NaN	NaN	1198	NaN	521	NaN	NaN	3.845	NaN
K13348	NaN	NaN	NaN	NaN	3848	8258	14.558	6.234	NaN
K13342	NaN	NaN	545	NaN	1473	NaN	4.485	5.505	NaN
K13343	NaN	NaN	770	NaN	NaN	NaN	120.415	63.249	NaN
K13346	NaN	NaN	NaN	1406	NaN	NaN	0.421	5.358	NaN
K13347	NaN	NaN	NaN	NaN	NaN	NaN	7.514	15.794	NaN
K13237	NaN	NaN	NaN	5669	NaN	NaN	23.277	NaN	NaN
K13356	NaN	NaN	NaN	NaN	NaN	NaN	1.421	10.018	NaN
K13355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.588	NaN
K13354	NaN	NaN	NaN	NaN	NaN	NaN	169.842	4.691	NaN
K13353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.767	NaN
K12663	NaN	NaN	NaN	NaN	NaN	NaN	10.44	488.027	NaN
K13352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.753	NaN
K06664	NaN	NaN	2961	NaN	NaN	NaN	0.349	2.074	NaN
K00624	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.769	NaN
K13335	NaN	NaN	NaN	NaN	627	3024	NaN	15.983	NaN
K13337	NaN	NaN	NaN	NaN	NaN	NaN	38.947	901.677	NaN
K13336	NaN	NaN	NaN	NaN	572	NaN	1.758	61.406	NaN
K12261	NaN	NaN	NaN	NaN	7417	5615	87.149	172.891	NaN
K05677	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.525	NaN
K13338	NaN	NaN	521	NaN	NaN	NaN	0.322	2.478	NaN
K13339	NaN	NaN	NaN	NaN	1266	2856	2.461	NaN	NaN
K13341	NaN	NaN	NaN	NaN	891	NaN	5.399	NaN	NaN
K13349	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13350	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00477	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07513	NaN	NaN	NaN	NaN	NaN	NaN	14.692	NaN	NaN
K05675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.166	NaN
K05678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08746	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07753	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.416	NaN
K00830	NaN	NaN	NaN	NaN	NaN	NaN	173.997	32.107	NaN
K00308	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K00306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	852.887	NaN
K13279	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08726	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08341	NaN	NaN	NaN	NaN	311	6373	16.578	181.505	NaN
K08342	NaN	NaN	NaN	NaN	NaN	NaN	2.754	30.857	NaN
K08329	NaN	NaN	NaN	606	NaN	2528	NaN	NaN	NaN
K08331	NaN	NaN	NaN	717	NaN	667	NaN	NaN	NaN
K08333	NaN	NaN	981	168	613	NaN	1.009	5.603	NaN
K08334	NaN	NaN	NaN	NaN	NaN	987	0.834	2.525	NaN
K08337	NaN	NaN	NaN	NaN	NaN	2320	10.729	7.99	NaN
K08269	NaN	NaN	NaN	NaN	837	2472	1.961	9.305	NaN
K08332	NaN	NaN	NaN	NaN	7198	11417	NaN	NaN	NaN
K08339	NaN	NaN	NaN	NaN	NaN	NaN	2.096	14.884	NaN
K05720	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05726	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05728	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.878	NaN
K05729	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05730	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12330	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07532	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13710	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06270	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10351	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12757	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05742	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05743	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.257	NaN
K05744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05627	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05746	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.441	NaN
K05748	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05750	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05753	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05754	NaN	NaN	NaN	NaN	65141	41641	1.391	428.066	NaN
K05755	NaN	NaN	NaN	NaN	11475	14244	2.358	392.075	NaN
K05756	NaN	NaN	NaN	NaN	23964	27846	0.792	285.798	NaN
K05757	NaN	NaN	NaN	NaN	73552	34028	0.836	138.52	NaN
K05758	NaN	NaN	NaN	NaN	22786	23958	0.113	235.35	NaN
K08007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05762	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05765	NaN	NaN	231000	186740	73661	79539	19.167	3091.511	NaN
K05700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05767	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	205.897	NaN
sce_YKR037C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YPL124W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YLR212C	NaN	NaN	1427	NaN	NaN	NaN	NaN	NaN	NaN
eco_b2516	NaN	469	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YGL093W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YBL063W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YDR016C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YDR130C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YPL255W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YGR113W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07374	NaN	NaN	NaN	NaN	102669	36320	2269.904	2359.242	NaN
K07375	NaN	NaN	NaN	NaN	46554	45331	1781.935	4399.577	NaN
sce_YML104C	NaN	NaN	NaN	156	NaN	NaN	NaN	NaN	NaN
sce_YAL047C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YOR257W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YKL052C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YMR294W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05692	NaN	NaN	412196	384087	334257	207736	NaN	7757.114	NaN
sce_YNL126W	NaN	NaN	NaN	277	NaN	NaN	NaN	NaN	NaN
sce_YHR172W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YER018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YOL069W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YKR083C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YML124C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YMR117C	NaN	NaN	20059	4682	NaN	NaN	NaN	NaN	NaN
sce_YJL042W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YDR201W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YNL225C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YLR045C	NaN	NaN	NaN	539	NaN	NaN	NaN	NaN	NaN
sce_YDR106W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YKL042W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YER016W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YIL144W	NaN	NaN	332	NaN	NaN	NaN	NaN	NaN	NaN
K03569	NaN	1790	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YGL061C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YOR373W	NaN	NaN	2546	5163	NaN	NaN	NaN	NaN	NaN
sce_YDR356W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YHR129C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03608	3289.85	1444	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03609	367.83	2164	NaN	NaN	NaN	NaN	1.84	NaN	316.305
sce_YBL034C	NaN	NaN	228	888	NaN	NaN	NaN	NaN	NaN
sce_YGL075C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03610	NaN	82	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sce_YFL037W	NaN	NaN	27118	68330	NaN	NaN	NaN	NaN	NaN
K03531	2851.16	1777	NaN	NaN	NaN	NaN	18.279	NaN	1094.532
sce_YML085C	NaN	NaN	16742	12229	NaN	NaN	NaN	NaN	NaN
K12313	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10355	NaN	NaN	NaN	NaN	NaN	NaN	2342.319	NaN	NaN
K10356	NaN	NaN	NaN	NaN	17857	17376	NaN	131.913	NaN
K08834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	227.113	NaN
K10357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.813	NaN
K10359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.407	NaN
K10362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.339	NaN
K10352	NaN	NaN	98	141	NaN	NaN	NaN	2007.715	NaN
K12749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12750	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1421.832	NaN
K12759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	426.196	NaN
K10364	NaN	NaN	NaN	NaN	14249	15231	NaN	344.973	NaN
K10365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	183.988	NaN
K10366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	389.068	NaN
K02184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.524	NaN
K10370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.078	NaN
K12044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	746.545	NaN
K10373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1386.225	NaN
K10374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4255.657	NaN
K09290	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07610	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07607	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04573	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
