Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Transcription	Genetic Information Processing	0.01924	0.02126	0.04603	0.01871	0.02127	0.05091	0.01277	0.01303	0.01316	0.005234	0.005304	0.005368	0.03015	0.03182	0.03231	0.0516	0.05461	0.0567	0.0494	0.05113	0.05311	0.04267	0.04795	0.04846	0	0	0.02177
-Translation	Genetic Information Processing	0.783	0.8014	0.811	0.7232	0.7382	0.7451	0.7559	0.7576	0.7611	0.8252	0.8264	0.8269	0.6567	0.6601	0.6631	0.5328	0.5387	0.5414	0.664	0.6761	0.6841	0.526	0.5335	0.5378	0.6553	0.6787	0.6865
-Folding, Sorting and Degradation	Genetic Information Processing	0.1279	0.137	0.1391	0.1416	0.1575	0.168	0.2097	0.2109	0.2114	0.152	0.1536	0.1545	0.2722	0.278	0.28	0.3471	0.3533	0.3557	0.1989	0.2061	0.2092	0.3525	0.357	0.3603	0.2691	0.288	0.2993
-DNA Maintenance	Genetic Information Processing	0.01227	0.01552	0.04343	0.05172	0.0541	0.08033	0.01484	0.01556	0.01965	0.009625	0.01556	0.01584	0.02681	0.03009	0.03245	0.04544	0.05278	0.05811	0.05485	0.06411	0.07768	0.05405	0.06152	0.06471	0.01415	0.02047	0.04002
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.01558	0.0161	0.01656	0.06082	0.06197	0.06494	0.0368	0.03685	0.03728	0.03959	0.03976	0.03988	0.03512	0.03671	0.03821	0.07589	0.07941	0.08141	0.01634	0.01732	0.01775	0.1331	0.1341	0.1351	0.02846	0.03962	0.04446
-Signal Transduction	Genetic Information Processing	0.01558	0.016	0.01624	0.06042	0.06185	0.06338	0.0368	0.03685	0.03703	0.03959	0.03976	0.03988	0.03494	0.03656	0.03821	0.07469	0.07807	0.08141	0.01607	0.01673	0.01711	0.1254	0.1264	0.1274	0.02846	0.03962	0.04446
-Signaling Molecules and Interaction	Genetic Information Processing	0	0	0.0007932	0	0	0.001548	0	0	0.0002732	0	0	0	0	3.397e-05	0.0005127	0	0	0.002129	0.000211	0.0005564	0.0008799	0.007604	0.007689	0.007864	0	0	0
Cellular Processes	Genetic Information Processing	0.002073	0.01243	0.01865	0.01178	0.0533	0.1204	0.03506	0.03551	0.03692	0.03256	0.03276	0.03436	0.04861	0.04939	0.05198	0.1225	0.1237	0.1257	0.05062	0.05106	0.05202	0.1965	0.2006	0.2042	0.00675	0.01871	0.02389
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
