!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b0529	263	376	567	733	848
b0530	0	0	0	0	0
b0531	0	0	0	0	0
b0532	0	0	0	0	0
b0533	0	0	0	0	0
b0534	0	0	0	0	0
b0535	0	0	0	0	0
b0536	0	0	0	0	0
b0537	0	0	0	0	0
b0543	0	0	0	0	0
b0544	0	0	0	0	0
b0545	0	0	0	0	0
b0546	0	0	0	0	0
b0547	0	0	0	0	0
b0548	0	0	0	0	0
b0549	0	0	0	0	0
b0550	0	0	0	0	0
b0551	0	0	0	0	0
b0553	0	0	0	0	0
b0554	0	0	0	0	0
b0555	0	0	0	0	0
b0562	0	0	0	0	0
b0564	0	0	0	0	0
b0565	372	483	671	878	1057
b0566	0	0	0	0	0
b0567	0	0	0	0	0
b0568	0	0	0	0	0
b0569	0	0	0	0	0
b0570	0	0	0	0	0
b0571	221	277	202	225	188
b0572	216	310	286	208	171
b0573	1924	2441	2846	2258	2051
b0574	256	416	453	366	290
b0575	0	0	0	0	0
b0576	0	0	0	0	0
b0577	0	0	0	0	0
b0578	1090	1741	2344	2801	3593
b0579	0	0	0	0	0
b0580	0	0	0	0	0
b0581	701	639	692	555	0
b0583	0	0	0	0	0
b0584	0	0	0	0	0
b0585	0	0	0	0	0
b0586	0	0	0	0	0
b0587	0	0	0	0	0
b0588	0	0	0	0	0
b0589	0	0	0	0	0
b0590	0	0	0	0	0
b0591	0	0	0	0	0
b0592	90	172	89	0	204
b0593	0	0	0	0	0
b0594	0	0	0	0	0
b0595	0	0	0	0	0
b0596	0	0	0	0	0
b0597	0	0	0	0	0
b0598	1042	1663	1663	1051	231
b0599	0	0	0	0	0
b0600	0	0	0	0	0
b0601	0	0	0	0	0
b0602	0	0	0	0	0
b0603	0	0	0	0	0
b0604	39	43	70	85	105
b0605	13401	20004	23350	23561	26639
b0606	502	682	1022	1125	1259
b0607	2533	2754	3569	3565	3620
b0608	158	0	0	0	0
b0610	606	0	0	0	0
b0611	0	0	0	0	0
b0612	0	0	0	0	0
b0613	0	0	0	0	0
b0614	0	0	0	0	0
b0615	0	0	0	0	0
b0616	0	0	0	0	0
b0617	0	0	0	0	0
b0618	0	0	0	0	0
b0619	0	0	0	0	0
b0620	0	0	0	0	0
b0621	0	0	0	0	0
b0622	0	0	0	0	0
b0623	11175	16328	20333	28354	34101
b0624	0	0	0	0	0
b0627	0	0	0	0	0
b0628	379	510	578	632	743
b0629	0	0	0	0	0
b0630	0	0	0	0	0
b0631	2319	2527	2734	3188	4186
b0632	442	640	1014	1248	1674
b0633	27	44	48	52	78
b0634	0	0	0	0	0
b0635	0	0	0	0	0
b0636	0	0	0	0	0
b0637	0	0	0	0	0
b0638	0	0	0	0	0
b0639	0	0	0	0	0
b0640	0	0	0	0	0
b0641	0	0	0	0	0
b0642	1262	1826	2352	2706	3014
b0643	1190	1094	1036	1009	880
b0644	0	0	0	0	0
b0645	0	0	0	0	0
b0646	0	0	0	0	0
b0647	0	0	0	0	0
b0648	0	0	0	0	0
b0649	0	0	0	0	0
b0650	0	0	0	0	0
b0651	104	165	186	183	129
b0652	0	0	0	0	0
b0653	0	0	0	0	0
b0654	0	0	0	0	0
b0655	3140	3454	3836	3303	3129
b0657	0	0	0	0	0
b0658	130	183	255	270	292
b0659	0	0	0	0	0
b0660	487	546	855	988	1277
b0661	0	0	0	0	0
b0662	64	65	74	88	100
b0665	0	0	0	0	0
b0670	0	0	0	0	0
b0672	0	0	0	0	0
b0673	0	0	0	0	0
b0674	300	478	824	1100	1253
b0675	431	529	645	695	839
b0676	30	40	59	48	46
b0677	182	0	179	0	0
b0678	1170	1256	1478	1413	1288
b0679	650	896	798	591	326
b0680	873	1176	1732	2076	2428
b0681	0	0	0	0	0
b0682	0	0	0	0	0
b0683	2343	2607	3068	3070	3576
b0684	195	221	241	276	331
b0685	0	0	0	0	0
b0686	455	586	716	872	848
b0687	379	456	506	538	703
b0688	1229	1517	1897	1867	2004
b0689	0	0	0	0	0
b0691	0	0	0	0	0
b0692	0	0	0	0	0
b0693	0	0	0	0	0
b0694	0	0	0	0	0
b0695	0	0	0	0	0
b0696	0	0	0	0	0
b0697	0	0	0	0	0
b0698	0	0	0	0	0
b0699	0	0	0	0	0
b0700	0	0	0	0	0
b0702	0	0	0	0	0
b0703	0	0	0	0	0
b0704	0	0	0	0	0
b0705	0	0	0	0	0
b0706	0	0	0	0	0
b0707	0	0	0	0	0
b0708	0	0	0	0	0
b0709	0	0	0	0	0
b0710	653	822	934	1063	955
b0711	0	0	0	0	0
b0712	70	86	113	112	115
b0713	0	0	0	0	0
b0714	0	0	0	0	0
b0715	0	0	0	0	0
b0716	0	0	0	0	0
b0717	0	0	0	0	0
b0718	0	0	0	0	0
b0719	0	0	0	0	0
b0720	6048	9697	10764	10610	7855
b0721	0	0	0	0	0
b0722	224	579	760	666	363
b0723	2134	3906	5908	5970	4187
b0724	2215	3772	5415	6634	3908
b0726	1484	2641	3894	4636	3595
b0727	2577	4228	6507	7239	6900
b0728	5470	9540	12948	14322	9887
b0729	4663	9153	11951	12855	9408
b0730	0	0	0	0	0
b0731	0	0	0	0	0
b0732	0	0	0	0	0
b0733	892	1164	1389	1176	1172
b0734	486	634	683	580	544
b0735	0	0	0	0	0
b0736	0	0	0	0	0
b0737	99	156	184	217	313
b0738	0	0	0	0	0
b0739	0	0	0	0	0
b0740	1746	2149	2812	3061	4243
b0741	67	87	125	149	182
b0742	514	613	870	939	1204
b0746	0	0	0	0	0
b0749	0	0	0	0	0
b0750	137	210	256	280	360
b0751	0	0	0	0	0
b0752	0	0	0	0	0
b0753	2258	0	0	0	0
b0754	963	1710	2622	4562	6275
b0755	7607	8355	8589	9778	10490
b0756	627	760	923	1134	1219
b0757	236	247	276	244	199
b0759	465	561	589	655	661
b0760	36	56	73	81	104
b0761	0	0	0	0	0
b0762	0	0	0	0	0
b0763	640	894	1414	1318	1077
b0764	0	0	0	0	0
b0765	56	0	49	0	0
b0766	0	0	0	0	0
b0767	1989	1704	2078	2288	2320
b0768	0	0	0	0	0
b0769	0	0	0	0	0
b0770	0	0	0	0	0
b0771	0	0	0	0	0
b0772	52	70	95	101	133
b0773	365	289	291	337	226
b0774	0	0	0	0	0
b0775	0	0	0	0	0
b0776	0	0	0	0	0
b0777	0	0	0	0	0
b0778	57	0	136	142	212
b0779	82	87	97	97	106
b0780	0	0	0	0	0
b0781	0	0	0	0	0
b0782	2427	3099	3611	3712	3984
b0783	202	243	370	380	403
b0784	281	334	406	510	483
b0785	226	274	397	418	534
b0786	0	0	0	0	0
b0787	0	0	0	0	0
b0788	0	0	0	0	0
b0789	0	0	0	0	0
b0790	0	0	0	0	0
b0791	0	0	0	0	0
b0792	0	0	0	0	0
b0793	0	0	0	0	0
b0794	0	0	0	0	0
b0795	0	0	0	0	0
b0796	0	0	0	0	0
b0797	0	0	0	0	0
b0798	0	0	0	0	0
b0799	0	0	0	0	0
b0800	736	964	1419	1504	1780
b0801	563	1011	1675	2030	2565
b0802	0	0	0	0	0
b0803	0	0	0	0	0
b0804	0	0	0	0	0
b0805	0	0	0	0	0
b0806	0	0	0	0	0
b0807	0	0	0	0	0
b0808	0	0	0	0	0
b0809	1069	1328	1449	1657	1288
b0810	0	0	0	0	0
b0811	8894	13178	16723	13234	9106
b0812	5677	7968	12109	12621	9826
b0813	0	0	0	0	0
b0814	0	0	0	0	0
b0815	0	0	0	0	0
b0816	0	0	0	0	0
b0817	0	0	0	0	0
b0818	0	0	0	0	0
b0819	1199	1522	2193	2643	3869
b0820	147	257	292	339	465
b0821	0	0	0	0	0
b0822	0	0	0	0	0
b0823	0	0	0	0	0
b0824	0	0	0	0	0
b0825	0	0	0	0	0
b0826	0	0	0	0	0
b0827	193	215	308	336	386
b0828	0	0	0	0	0
b0829	0	0	0	0	0
b0830	604	649	855	843	981
b0831	0	0	0	0	0
b0832	0	0	0	0	0
b0833	0	0	0	0	0
b0834	0	0	0	0	0
b0835	0	0	0	0	0
b0836	0	0	0	0	0
b0837	0	0	0	0	0
b0838	1422	1606	1906	2148	1965
b0839	1290	1250	1542	1484	1560
b0840	0	0	0	0	0
b0841	0	0	0	0	0
b0842	0	0	0	0	0
b0843	0	0	0	0	0
b0844	0	0	0	0	0
b0845	0	0	0	0	0
b0846	0	0	0	0	0
b0847	0	0	0	0	0
b0848	0	0	0	0	0
b0849	0	0	0	0	0
b0850	0	0	0	0	0
b0851	108	135	155	199	207
b0852	0	0	0	0	0
b0853	0	0	0	0	0
b0854	4084	3360	3253	3060	2874
b0855	144	175	170	164	0
b0856	0	0	0	0	0
b0857	0	0	0	0	0
b0858	0	0	0	0	0
b0859	0	0	0	0	0
b0860	1485	2674	5137	5474	12005
b0861	0	0	0	0	0
b0862	0	0	0	0	0
b0863	2420	2476	3666	4677	4641
b0864	247	0	296	306	411
b0865	333	302	354	348	307
b0866	0	0	0	0	0
b0867	0	0	0	0	0
b0868	0	0	0	0	0
b0869	0	0	0	0	0
b0870	374	576	830	836	1012
b0871	1775	1558	1655	1560	1365
b0872	0	0	0	0	0
b0873	0	0	0	0	0
b0874	0	0	0	0	0
b0875	0	0	0	0	0
b0876	0	0	0	0	0
b0877	0	0	0	0	0
b0878	7	0	0	0	0
b0879	0	0	0	0	0
b0880	3651	3470	2776	2050	996
b0881	0	0	0	0	0
b0882	640	959	1562	1814	2290
b0884	1945	2710	3914	4843	6830
b0885	0	0	0	0	0
b0886	0	0	0	0	0
b0887	0	0	0	0	0
b0888	1080	1949	2568	2801	4020
b0889	4479	5380	5914	5978	7406
b0890	0	0	0	0	0
b0891	519	690	1142	1361	1888
b0892	0	0	0	0	0
b0893	1360	1866	2666	2948	3627
b0894	0	0	0	0	0
b0895	0	0	0	0	0
b0896	0	0	0	0	0
b0897	4634	4304	2690	3506	2741
b0898	0	0	0	0	0
b0899	0	0	0	0	0
b0900	0	0	0	0	0
b0901	0	0	0	0	0
b0902	239	272	319	377	429
b0903	7998	8196	7702	7879	7771
b0904	0	0	0	0	0
b0905	0	0	0	0	0
b0906	0	0	0	0	0
b0907	3068	5140	7356	8693	13533
b0908	290	361	547	767	1185
b0909	0	0	0	0	0
b0910	295	337	378	433	573
b0911	6983	8971	14568	18684	23246
b0912	6241	6127	6944	6850	7258
b0913	0	0	0	0	0
b0914	50	63	77	89	84
b0915	0	0	0	0	0
b0916	0	0	0	0	0
b0917	370	471	596	720	1031
b0918	262	355	502	591	768
b0919	0	0	0	0	0
b0920	0	0	0	0	0
b0921	0	0	0	0	0
b0922	0	0	0	0	0
b0923	183	224	231	274	312
b0924	66	0	0	0	0
b0925	0	0	0	0	0
b0926	0	0	0	0	0
b0927	702	749	756	794	1018
b0928	3477	6423	9443	8840	9430
b0929	1827	3443	3514	3429	1177
b0930	1710	2619	3672	4035	5036
b0931	292	434	552	576	751
b0932	918	1255	1638	1504	1593
b0933	0	0	0	0	0
b0934	0	0	0	0	0
b0935	0	0	0	0	0
b0936	0	0	0	0	0
b0937	0	0	0	0	0
b0938	0	0	0	0	0
b0939	0	0	0	0	0
b0940	0	0	0	0	0
b0941	0	0	0	0	0
b0942	0	0	0	0	0
b0943	0	0	0	0	0
b0944	0	0	0	0	0
b0945	86	181	379	522	917
b0946	0	0	0	0	0
b0947	171	149	197	177	155
b0948	12	15	19	23	23
b0949	0	0	0	0	0
b0950	0	0	0	0	0
b0951	0	0	0	0	0
b0952	0	0	0	0	0
b0953	3467	1277	778	375	0
b0954	4176	4579	6042	7525	7158
b0955	0	0	0	0	0
b0956	157	179	202	189	198
b0957	3064	4085	6317	7335	8262
b0958	0	0	0	0	0
b0959	0	0	0	0	0
b0960	0	0	0	0	0
b0961	0	0	0	0	0
b0962	224	276	393	402	419
b0963	756	798	1286	1111	1064
b0964	0	0	0	0	0
b0965	1408	1434	1829	1625	1748
b0966	0	0	0	0	0
b0967	38	60	84	117	121
b0968	168	134	134	126	126
b0969	0	0	0	0	0
b0970	101	0	0	0	0
b0971	0	0	0	0	0
b0972	0	0	0	0	0
b0973	0	0	0	0	0
b0974	0	0	0	0	0
b0975	0	0	0	0	0
b0976	0	0	0	0	0
b0977	0	0	0	0	0
b0978	0	0	0	0	0
b0979	0	0	0	0	0
b0980	0	0	0	0	0
b0981	0	0	0	0	0
b0982	0	0	0	0	0
b0983	0	0	0	0	0
b0984	0	0	0	0	0
b0985	0	0	0	0	0
b0986	0	0	0	0	0
b0987	0	0	0	0	0
b0989	0	0	0	0	0
b0990	0	0	0	0	0
b0991	0	0	0	0	0
b0992	0	0	0	0	0
b0993	0	0	0	0	0
b0994	0	0	0	0	0
b0995	0	0	0	0	0
b0996	0	0	0	0	0
b0997	0	0	0	0	0
b0998	0	0	0	0	0
b0999	0	0	0	0	0
b1000	409	419	489	540	614
b1001	0	0	0	0	0
b1002	2396	2307	1739	1107	699
b1003	2492	1953	2391	2910	2907
b1004	6444	5410	6410	6238	6416
b1006	0	0	0	0	0
b1007	0	0	0	0	0
b1008	0	0	0	0	0
b1009	0	0	0	0	0
b1010	0	0	0	0	0
b1011	0	0	0	0	0
b1012	0	0	0	0	0
b1013	0	0	0	0	0
b1014	0	0	0	0	0
b1015	0	0	0	0	0
