!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b4064	0	0	0	0	0
b4065	0	0	0	0	0
b4066	0	0	0	0	0
b4067	777	0	0	0	0
b4068	842	0	0	0	0
b4069	7800	9337	7609	3720	1486
b4070	0	0	0	0	0
b4071	0	0	0	0	0
b4072	0	0	0	0	0
b4073	0	0	0	0	0
b4074	0	0	0	0	0
b4075	0	0	0	0	0
b4076	0	0	0	0	0
b4077	0	0	0	0	0
b4078	0	0	0	0	0
b4079	0	0	0	0	0
b4080	0	0	0	0	0
b4081	0	0	0	0	0
b4082	0	0	0	0	0
b4083	0	0	0	0	0
b4084	0	0	0	0	0
b4085	0	0	0	0	0
b4086	0	0	0	0	0
b4087	105	0	0	0	0
b4088	193	189	196	191	46
b4089	0	0	0	0	0
b4090	0	0	0	0	0
b4092	0	0	0	0	0
b4093	0	0	0	0	0
b4094	0	0	0	0	0
b4095	0	0	0	0	0
b4096	0	0	0	0	0
b4097	0	0	0	0	0
b4098	0	0	0	0	0
b4099	0	0	0	0	0
b4100	0	0	0	0	0
b4101	0	0	0	0	0
b4102	0	0	0	0	0
b4104	0	0	0	0	0
b4105	0	0	0	0	0
b4106	0	0	0	0	0
b4107	1282	704	524	275	247
b4108	573	437	768	0	936
b4109	0	0	0	0	0
b4110	35	0	0	0	0
b4111	0	0	0	0	0
b4112	0	0	0	0	0
b4113	517	826	778	935	756
b4114	0	0	0	0	0
b4115	0	0	0	0	0
b4116	0	0	0	0	0
b4117	0	0	0	0	0
b4118	0	0	0	0	0
b4119	0	0	0	0	0
b4120	0	0	0	0	0
b4121	0	0	0	0	0
b4122	0	0	0	0	0
b4123	0	0	0	0	0
b4124	0	0	0	0	0
b4125	0	0	0	0	0
b4126	0	0	0	0	0
b4127	250	0	0	0	0
b4128	0	0	0	0	0
b4129	69	88	115	117	122
b4130	0	0	0	0	0
b4131	0	0	0	0	0
b4132	0	0	0	0	0
b4133	0	0	0	0	0
b4135	387	416	426	467	487
b4136	0	0	0	0	0
b4137	0	0	0	0	0
b4138	0	0	0	0	0
b4139	1071	1616	1608	1008	412
b4140	0	0	0	0	0
b4141	0	0	0	0	0
b4142	13660	16662	19130	20824	20638
b4143	8928	9875	12306	12619	10044
b4144	266	322	356	332	318
b4145	0	0	0	0	0
b4146	0	0	0	0	0
b4147	2100	2638	4272	5102	6096
b4148	0	0	0	0	0
b4149	40	36	49	49	49
b4150	0	0	0	0	0
b4151	0	0	0	0	0
b4152	0	0	0	0	0
b4153	566	494	355	421	245
b4154	238	265	256	195	137
b4155	0	0	0	0	0
b4156	0	0	0	0	0
b4157	0	0	0	0	0
b4158	0	0	0	0	0
b4159	0	0	0	0	0
b4160	730	797	869	974	1054
b4161	200	230	262	253	307
b4162	477	580	648	767	977
b4165	0	0	0	0	0
b4166	0	0	0	0	0
b4167	114	119	100	98	0
b4168	257	163	353	356	413
b4169	0	0	0	0	0
b4170	13	20	18	20	15
b4171	0	0	0	0	0
b4172	0	0	0	0	0
b4173	99	124	169	177	185
b4174	570	794	1192	1208	1262
b4175	317	389	624	660	759
b4176	0	0	0	0	0
b4177	4747	6057	6867	7705	9930
b4178	0	0	0	0	0
b4179	114	127	171	208	248
b4180	0	0	0	0	0
b4181	0	0	0	0	0
b4182	0	0	0	0	0
b4183	56	0	0	0	0
b4184	0	0	0	0	0
b4185	0	0	0	0	0
b4186	0	0	0	0	0
b4187	0	0	0	0	0
b4188	0	0	0	0	0
b4189	0	0	0	0	0
b4190	0	0	0	0	0
b4191	0	0	0	0	0
b4192	0	0	0	0	0
b4193	0	0	0	0	0
b4194	0	0	0	0	0
b4195	0	0	0	0	0
b4196	0	0	0	0	0
b4197	0	0	0	0	0
b4198	0	0	0	0	0
b4199	0	0	0	0	0
b4200	9866	12988	18410	22997	28381
b4201	0	0	0	0	0
b4202	6896	8928	14644	19045	21510
b4203	7326	9923	16702	20825	29704
b4204	0	0	0	0	0
b4205	0	0	0	0	0
b4206	132	0	96	0	107
b4207	1452	2015	2628	3171	3691
b4208	438	673	567	513	0
b4209	0	0	0	0	0
b4210	0	0	0	0	0
b4211	57	55	62	77	73
b4212	0	0	0	0	0
b4213	213	255	307	229	177
b4214	1022	905	795	894	849
b4215	0	0	0	0	0
b4216	1087	1691	1881	1287	621
b4217	0	0	0	0	0
b4218	0	0	0	0	0
b4219	1023	893	1127	1237	1274
b4220	0	0	0	0	0
b4221	0	0	0	0	0
b4222	223	265	312	341	401
b4224	0	0	0	0	0
b4225	0	0	0	0	0
b4226	7043	9165	12138	13114	15277
b4227	3064	2249	986	260	95
b4230	0	0	0	0	0
b4231	0	0	0	0	0
b4232	448	681	971	1030	1193
b4233	126	179	265	306	407
b4234	717	605	835	859	1016
b4235	615	715	898	1077	1261
b4236	0	0	0	0	0
b4237	0	0	0	0	0
b4238	0	0	0	0	0
b4239	0	0	0	0	0
b4240	0	0	0	0	0
b4241	0	0	0	0	0
b4242	0	0	0	0	0
b4243	2949	4628	6578	7291	7729
b4244	6762	14945	14408	23146	19102
b4245	5258	10231	12585	18652	16940
b4246	0	0	0	0	0
b4248	0	0	0	0	0
b4249	0	0	0	0	0
b4251	0	0	0	0	0
b4252	203	242	447	568	0
b4253	0	0	0	0	0
b4254	488	786	1431	2478	2407
b4255	4757	5231	5949	6906	7589
b4256	104	156	0	198	228
b4257	0	0	0	0	0
b4258	475	655	944	1179	1502
b4259	0	0	0	0	0
b4260	604	845	1112	1221	1146
b4261	27	36	49	30	38
b4262	99	98	114	88	139
b4263	463	369	339	304	282
b4264	0	0	0	0	0
b4265	0	0	0	0	0
b4266	31	33	19	32	0
b4267	0	0	0	0	0
b4268	0	0	0	0	0
b4269	194	158	157	171	221
b4270	0	0	0	0	0
b4271	0	0	0	0	0
b4277	0	0	0	0	0
b4278	0	0	0	0	0
b4279	0	0	0	0	0
b4280	118	0	0	0	0
b4281	0	0	0	0	0
b4282	0	0	0	0	0
b4284	0	0	0	0	0
b4286	0	0	0	0	0
b4287	0	0	0	0	0
b4288	0	0	0	0	0
b4289	0	0	0	0	0
b4290	0	0	0	0	0
b4291	0	0	0	0	0
b4292	0	0	0	0	0
b4293	0	0	0	0	0
b4295	106	130	209	91	154
b4296	0	0	0	0	0
b4297	0	0	0	0	0
b4298	0	0	0	0	0
b4299	0	0	0	0	0
b4300	0	0	0	0	0
b4301	0	0	0	0	0
b4302	57	0	0	0	0
b4303	448	630	95	294	1384
b4304	0	0	0	0	0
b4305	494	1041	604	0	0
b4306	0	0	0	0	0
b4307	0	0	0	0	0
b4308	0	0	0	0	0
b4309	0	0	0	0	0
b4310	0	0	0	0	0
b4311	0	0	0	0	0
b4312	0	0	0	0	0
b4313	0	0	0	0	0
b4314	0	0	0	0	0
b4315	0	0	0	0	0
b4316	0	0	0	0	0
b4317	0	0	0	0	0
b4318	0	0	0	0	0
b4319	0	0	0	0	0
b4320	0	0	0	0	0
b4321	0	0	0	0	0
b4322	612	530	485	387	287
b4323	86	90	65	62	43
b4324	0	0	0	0	0
b4325	0	0	0	0	0
b4326	0	0	0	0	0
b4327	0	0	0	0	0
b4328	0	0	0	0	0
b4329	0	0	0	0	0
b4330	0	0	0	0	0
b4331	0	0	0	0	0
b4332	0	0	0	0	0
b4333	0	0	0	0	0
b4334	0	0	0	0	0
b4335	0	0	0	0	0
b4336	0	0	0	0	0
b4337	0	0	0	0	0
b4339	0	0	0	0	0
b4340	0	0	0	0	0
b4341	0	0	0	0	0
b4342	0	0	0	0	0
b4345	0	0	0	0	0
b4346	0	0	0	0	0
b4347	0	0	0	0	0
b4348	0	0	0	0	0
b4349	0	0	0	0	0
b4350	32	54	69	60	59
b4351	0	0	0	0	0
b4352	0	0	0	0	0
b4353	0	0	0	0	0
b4354	0	0	0	0	0
b4355	69	0	0	0	0
b4356	0	0	0	0	0
b4357	0	0	0	0	0
b4358	0	0	0	0	0
b4359	0	0	0	0	0
b4360	183	0	0	0	0
b4361	0	0	0	0	0
b4362	0	0	0	0	0
b4363	0	0	0	0	0
b4364	0	0	0	0	0
b4365	0	0	0	0	0
b4366	0	0	0	0	0
b4367	0	0	0	0	0
b4369	0	0	0	0	0
b4370	0	0	0	0	0
b4371	193	227	293	334	332
b4372	0	0	0	0	0
b4373	0	0	0	0	0
b4374	0	0	0	0	0
b4375	202	283	434	614	752
b4376	3054	3420	10327	14377	17220
b4377	0	0	0	0	0
b4378	0	0	0	0	0
b4379	0	0	0	0	0
b4380	0	0	0	0	0
b4381	1069	962	1015	1060	1289
b4382	174	148	168	168	192
b4383	1501	1358	1446	1425	1419
b4384	1288	1834	2340	2952	2537
b4385	0	0	0	0	0
b4386	0	0	0	0	0
b4387	0	0	0	0	0
b4388	78	94	121	138	183
b4389	0	0	0	0	0
b4390	43	40	44	46	46
b4391	1347	1652	2474	2840	2710
b4392	160	154	178	142	169
b4393	428	476	399	512	390
b4394	0	0	0	0	0
b4395	194	282	423	438	446
b4396	319	338	389	385	450
b4397	215	347	618	0	394
b4398	0	0	0	0	0
b4399	0	0	0	0	0
b4400	0	0	0	0	0
b4401	5108	4468	4267	4467	4483
b4402	0	0	0	0	0
b4403	0	0	0	0	0
b4406	0	0	0	0	0
b4407	0	0	0	0	0
b4408	0	0	0	0	0
b4409	0	0	0	0	0
b4410	0	0	0	0	0
b4411	0	0	0	0	0
b4412	0	0	0	0	0
b4414	0	0	0	0	0
b4415	0	0	0	0	0
b4416	0	0	0	0	0
b4417	0	0	0	0	0
b4418	0	0	0	0	0
b4420	0	0	0	0	0
b4421	0	0	0	0	0
b4422	0	0	0	0	0
b4423	0	0	0	0	0
b4424	0	0	0	0	0
b4425	0	0	0	0	0
b4426	0	0	0	0	0
b4427	0	0	0	0	0
b4428	0	0	0	0	0
b4430	0	0	0	0	0
b4431	0	0	0	0	0
b4432	0	0	0	0	0
b4433	0	0	0	0	0
b4435	0	0	0	0	0
b4436	0	0	0	0	0
b4437	0	0	0	0	0
b4438	0	0	0	0	0
b4439	0	0	0	0	0
b4440	0	0	0	0	0
b4441	0	0	0	0	0
b4442	0	0	0	0	0
b4443	0	0	0	0	0
b4444	0	0	0	0	0
b4445	0	0	0	0	0
b4446	0	0	0	0	0
b4447	0	0	0	0	0
b4448	0	0	0	0	0
b4449	0	0	0	0	0
b4450	0	0	0	0	0
b4451	0	0	0	0	0
b4452	0	0	0	0	0
b4453	0	0	0	0	0
b4454	0	0	0	0	0
b4455	0	0	0	0	0
b4456	0	0	0	0	0
b4457	0	0	0	0	0
b4458	0	0	0	0	0
b4459	0	0	0	0	0
b4460	0	0	0	0	0
b4461	0	0	0	0	0
b4462	0	0	0	0	0
b4463	0	0	0	0	0
b4464	0	0	0	0	0
b4465	0	0	0	0	0
b4466	0	0	0	0	0
b4467	0	0	0	0	0
b4468	0	0	0	0	0
b4469	0	0	0	0	0
b4470	0	0	0	0	0
b4471	0	0	0	0	0
b4472	0	0	0	0	0
b4473	0	0	0	0	0
b4474	0	0	0	0	0
b4475	0	0	0	0	0
b4476	0	0	0	0	0
b4477	0	0	0	0	0
b4478	0	0	0	0	0
b4479	0	0	0	0	0
b4480	0	0	0	0	0
b4481	0	0	0	0	0
b4482	0	0	0	0	0
b4483	0	0	0	0	0
b4484	0	0	0	0	0
b4485	0	0	0	0	0
b4486	0	0	0	0	0
b4487	0	0	0	0	0
b4488	0	0	0	0	0
b4490	0	0	0	0	0
b4491	0	0	0	0	0
b4492	0	0	0	0	0
b4493	0	0	0	0	0
b4494	0	0	0	0	0
b4495	0	0	0	0	0
b4496	0	0	0	0	0
b4497	0	0	0	0	0
b4498	0	0	0	0	0
b4499	0	0	0	0	0
b4500	0	0	0	0	0
b4501	0	0	0	0	0
b4502	0	0	0	0	0
b4503	0	0	0	0	0
b4504	0	0	0	0	0
b4505	0	0	0	0	0
b4506	0	0	0	0	0
b4509	0	0	0	0	0
b4511	0	0	0	0	0
b4512	0	0	0	0	0
b4513	0	0	0	0	0
b4514	0	0	0	0	0
b4515	0	0	0	0	0
b4517	0	0	0	0	0
b4518	0	0	0	0	0
b4519	0	0	0	0	0
b4520	0	0	0	0	0
b4521	0	0	0	0	0
b4522	0	0	0	0	0
b4523	0	0	0	0	0
b4524	0	0	0	0	0
b4525	0	0	0	0	0
b4526	0	0	0	0	0
b4527	0	0	0	0	0
b4529	0	0	0	0	0
b4532	0	0	0	0	0
b4533	0	0	0	0	0
b4535	0	0	0	0	0
b4536	0	0	0	0	0
b4537	0	0	0	0	0
b4538	0	0	0	0	0
b4539	0	0	0	0	0
b4541	0	0	0	0	0
b4542	0	0	0	0	0
b4543	0	0	0	0	0
b4544	0	0	0	0	0
b4546	0	0	0	0	0
b4547	0	0	0	0	0
b4548	0	0	0	0	0
b4550	0	0	0	0	0
b4551	0	0	0	0	0
b4552	0	0	0	0	0
b4553	0	0	0	0	0
b4554	0	0	0	0	0
b4555	0	0	0	0	0
b4556	0	0	0	0	0
b4557	0	0	0	0	0
b4558	0	0	0	0	0
b4559	0	0	0	0	0
b4561	0	0	0	0	0
b4565	0	0	0	0	0
b4566	0	0	0	0	0
b4567	0	0	0	0	0
b4568	0	0	0	0	0
b4569	0	0	0	0	0
b4570	0	0	0	0	0
b4571	0	0	0	0	0
b4572	0	0	0	0	0
b4573	0	0	0	0	0
b4575	0	0	0	0	0
b4577	0	0	0	0	0
b4578	0	0	0	0	0
b4579	0	0	0	0	0
b4580	0	0	0	0	0
b4581	0	0	0	0	0
b4582	0	0	0	0	0
b4585	0	0	0	0	0
b4586	0	0	0	0	0
b4587	0	0	0	0	0
b4588	0	0	0	0	0
b4590	0	0	0	0	0
b4592	0	0	0	0	0
b4593	0	0	0	0	0
b4594	0	0	0	0	0
b4595	0	0	0	0	0
b4596	0	0	0	0	0
b4597	0	0	0	0	0
b4598	0	0	0	0	0
b4599	0	0	0	0	0
b4600	0	0	0	0	0
b4601	0	0	0	0	0
b4602	0	0	0	0	0
b4603	0	0	0	0	0
b4604	0	0	0	0	0
b4606	0	0	0	0	0
b4608	0	0	0	0	0
b4609	0	0	0	0	0
b4611	0	0	0	0	0
b4612	0	0	0	0	0
b4613	0	0	0	0	0
b4615	0	0	0	0	0
b4616	0	0	0	0	0
b4618	0	0	0	0	0
b4620	0	0	0	0	0
b4621	0	0	0	0	0
b4622	0	0	0	0	0
b4623	0	0	0	0	0
b4624	0	0	0	0	0
b4625	0	0	0	0	0
b4626	0	0	0	0	0
b4627	0	0	0	0	0
b4628	0	0	0	0	0
b4630	0	0	0	0	0
b4631	0	0	0	0	0
b4632	0	0	0	0	0
b4633	0	0	0	0	0
b4636	0	0	0	0	0
b4637	0	0	0	0	0
b4639	0	0	0	0	0
b4640	0	0	0	0	0
b4641	0	0	0	0	0
b4642	0	0	0	0	0
b4644	0	0	0	0	0
b4646	0	0	0	0	0
b4647	0	0	0	0	0
b4648	0	0	0	0	0
b4649	0	0	0	0	0
b4650	0	0	0	0	0
b4651	0	0	0	0	0
b4652	0	0	0	0	0
b4653	0	0	0	0	0
b4654	0	0	0	0	0
b4655	0	0	0	0	0
b4656	0	0	0	0	0
b4657	0	0	0	0	0
b4658	0	0	0	0	0
b4659	0	0	0	0	0
b4660	0	0	0	0	0
b4661	0	0	0	0	0
